chart_id,chart_type,status,question,explanation,operation_spec,feedback,updated_at
1lg9qn6shf8ifsdq,simpleBar,pending,Is the sum of the values until Jan 2013 times three smaller than the sum of the values from Feb 2013?,Sum the listener hours for the time periods ending in or before Jan 2013. Multiply that sum by three. Calculate the total listener hours for the time periods starting from Feb 2013 onwards. Compare the multiplied sum to the second total to determine if it is smaller.,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Time Period"", ""include"": [""Feb 2008 to Jan 2009"", ""Feb 2009 to Jan 2010"", ""Feb 2010 to Jan 2011"", ""Feb 2011 to Jan 2012"", ""Feb 2012 to Jan 2013""]}, {""op"": ""sum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Listener hours in billions""}, {""op"": ""scale"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 2}, ""target"": ""ref:n2"", ""factor"": 3}], ""ops2"": [{""op"": ""filter"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [], ""sentenceIndex"": 3}, ""field"": ""Time Period"", ""include"": [""Feb to Dec 2013"", ""Jan to Dec 2014"", ""Jan to Dec 2015"", ""Jan to Dec 2016"", ""Jan to Dec 2017""]}, {""op"": ""sum"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n4""], ""sentenceIndex"": 3}, ""field"": ""Listener hours in billions""}], ""ops3"": [{""op"": ""compareBool"", ""id"": ""n6"", ""meta"": {""nodeId"": ""n6"", ""inputs"": [""n3"", ""n5""], ""sentenceIndex"": 4}, ""operator"": ""<"", ""targetA"": ""ref:n3"", ""targetB"": ""ref:n5""}]}",,
2a7luy1tzrplr2as,groupedBar,pending,What is the number of years where the total rice export shows over 6 billion?,Sum the export values of all rice types for each fiscal year. Compare the resulting total for each year against the 6 billion threshold. Count the years that exceed this amount.,"{""ops"": [{""op"": ""sum"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Export value in billion US dollars""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Export value in billion US dollars"", ""operator"": "">"", ""value"": 6}], ""ops3"": [{""op"": ""count"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}}]}",,
awg12vb36ndo75tq,simpleLine,pending,Do poverty range increase faster in last 6 years than the first 6 years from this chart?,Treat the first 6 years as the earliest six data points and the last 6 years as the most recent six data points. Calculate the overall increase in the absolute poverty rate for the first period by subtracting its initial value from its final value. Compute the equivalent increase for the second period. Compare the two resulting values to see if the latter is greater than the former.,"{""ops"": [{""op"": ""retrieveValue"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""target"": ""2008"", ""field"": ""Absolute poverty rate""}, {""op"": ""retrieveValue"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 1}, ""target"": ""2013"", ""field"": ""Absolute poverty rate""}, {""op"": ""diff"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2"", ""n1""], ""sentenceIndex"": 1}, ""targetA"": ""ref:n2"", ""targetB"": ""ref:n1"", ""signed"": true}], ""ops2"": [{""op"": ""retrieveValue"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [], ""sentenceIndex"": 2}, ""target"": ""2015"", ""field"": ""Absolute poverty rate""}, {""op"": ""retrieveValue"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [], ""sentenceIndex"": 2}, ""target"": ""2020"", ""field"": ""Absolute poverty rate""}, {""op"": ""diff"", ""id"": ""n6"", ""meta"": {""nodeId"": ""n6"", ""inputs"": [""n5"", ""n4""], ""sentenceIndex"": 2}, ""targetA"": ""ref:n5"", ""targetB"": ""ref:n4"", ""signed"": true}], ""ops3"": [{""op"": ""compareBool"", ""id"": ""n7"", ""meta"": {""nodeId"": ""n7"", ""inputs"": [""n3"", ""n6""], ""sentenceIndex"": 3}, ""operator"": "">"", ""targetA"": ""ref:n6"", ""targetB"": ""ref:n3""}]}",,
cby91tt3tvahsmuj,multipleLine,pending,Is the difference between the parties in 2012 bigger than the average of the differences of all years?,Compute the absolute difference between the two parties' percentages for each year. Average these yearly differences to find the overall mean. Identify the difference specifically for the year 2012. Check if the 2012 value exceeds the overall average.,"{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""groupA"": ""Dem/Lean Dem"", ""groupB"": ""Rep/Lean Rep"", ""seriesField"": ""Party"", ""by"": ""Year"", ""field"": ""Percentage"", ""absolute"": true}], ""ops2"": [{""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Percentage""}], ""ops3"": [{""op"": ""retrieveValue"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n1""], ""sentenceIndex"": 3}, ""target"": ""2012"", ""field"": ""Percentage""}], ""ops4"": [{""op"": ""compareBool"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3"", ""n2""], ""sentenceIndex"": 4}, ""operator"": "">"", ""targetA"": ""ref:n3"", ""targetB"": ""ref:n2""}]}",,
1lf1h5jf9ymeid5q,simpleBar,pending,Count the number of year that consists more than 3 million shipments increase compared to last year.,Calculate the difference in unit shipments between each year and the preceding year in the chart. Compare these year-over-year changes against the 3 million threshold. Count the instances where the increase strictly exceeds that amount.,"{""ops"": [{""op"": ""lagDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Unit shipments in millions"", ""order"": ""asc"", ""absolute"": false}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Unit shipments in millions"", ""operator"": "">"", ""value"": 3}], ""ops3"": [{""op"": ""count"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}}]}",,
bpmaqi8nt785y4ay,stackedBar,pending,Count the year when American flims occupied the majority(more than 50%) of cinema admissions. Do they occupied the majority more than 3 years?,Filter the chart for the American films category. Count the years where the share of cinema admissions is strictly greater than 50 percent. Compare this count to 3 to determine if it exceeds that threshold.,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""group"": ""American films""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Share of cinema admissions"", ""operator"": "">"", ""value"": 50}, {""op"": ""count"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 2}}], ""ops3"": [{""op"": ""compareBool"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 3}, ""operator"": "">"", ""targetA"": ""ref:n3"", ""targetB"": 3}]}",,
c3mncg8r4g6bjoon,stackedBar,pending,Is Germany has higher share of respondents in Gasoline or diesel compared to the average of rest of the countries?,Find the share of respondents for Gasoline or diesel (ICE) in Germany. Average the Gasoline or diesel (ICE) values across all other countries. Compare Germany's share to the resulting average.,"{""ops"": [{""op"": ""retrieveValue"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""target"": ""Germany"", ""field"": ""Share of respondents"", ""group"": ""Gasoline or diesel (ICE)""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Country"", ""operator"": ""!="", ""value"": ""Germany"", ""group"": ""Gasoline or diesel (ICE)""}, {""op"": ""average"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 2}, ""field"": ""Share of respondents""}], ""ops3"": [{""op"": ""compareBool"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n1"", ""n3""], ""sentenceIndex"": 3}, ""operator"": "">"", ""targetA"": ""ref:n1"", ""targetB"": ""ref:n3""}]}",,
c1dkepdvg39l54su,stackedBar,pending,Do respondents from London has more preference to used car compared to the average of whole region?,"Find the ""Used car"" preference value for London. Average the ""Used car"" values across all regions in the chart. Compare the London value against the overall average to see if it is greater.","{""ops"": [{""op"": ""retrieveValue"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""target"": ""London"", ""field"": ""Share of respondents"", ""group"": ""Used car""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 2}, ""group"": ""Used car""}, {""op"": ""average"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 2}, ""field"": ""Share of respondents""}], ""ops3"": [{""op"": ""compareBool"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n1"", ""n3""], ""sentenceIndex"": 3}, ""operator"": "">"", ""targetA"": ""ref:n1"", ""targetB"": ""ref:n3""}]}",,
1jgaguuh4rqlk7sq,simpleBar,pending,What is the difference of the sum of sales between the first six years and the last six years?,Sum the sales volume values for the first six years listed in the chart. Calculate the total sales volume for the final six years. Subtract the second total from the first.,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""operator"": ""between"", ""value"": [""2008"", ""2013""]}, {""op"": ""sum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Sales volume in tonnes""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Year"", ""operator"": ""between"", ""value"": [""2014"", ""2019""]}, {""op"": ""sum"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""field"": ""Sales volume in tonnes""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 3}, ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4"", ""signed"": true}]}",,
2ecy6apyrdfpoqbo,groupedBar,pending,How many fiscal year exist where the beer is smaller than the sum of soft drink and hot dog?,Calculate the sum of the soft drink and hot dog sales prices for each fiscal year. Compare the beer sales price against this sum within the same year. Count the fiscal years where the beer value is strictly less than the combined total.,"{""ops"": [{""op"": ""sum"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Sales price in US dollars"", ""group"": [""Soft drink"", ""Hot dog""]}], ""ops2"": [{""op"": ""sum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Sales price in US dollars"", ""group"": ""Beer""}], ""ops3"": [{""op"": ""compareBool"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2"", ""n1""], ""sentenceIndex"": 3}, ""operator"": ""<"", ""targetA"": ""ref:n2"", ""targetB"": ""ref:n1""}]}",,
b4o9bh8f969q6kqa,simpleLine,pending,What is the number of years where the value is lower than the average?,Calculate the average of the index scores across all years. Compare the value for each year against this average. Count the number of years that fall below the calculated mean.,"{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Index score on a scale from 0 to 100""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Index score on a scale from 0 to 100"", ""operator"": ""<"", ""value"": ""ref:n1""}], ""ops3"": [{""op"": ""count"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}}]}",,
ciqofa9lr4z5kz7d,multipleLine,pending,What year shows the second lowest absolute difference between Revenue and Expenditure?,Calculate the absolute difference between the Revenue and Expenditure values for each year. Sort the resulting differences in ascending order. Select the year corresponding to the second value in the sorted list.,"{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""groupA"": ""Revenue"", ""groupB"": ""Expenditure"", ""seriesField"": ""Type"", ""by"": ""Year"", ""field"": ""Revenue and expending in million Canadian dollars"", ""absolute"": true}], ""ops2"": [{""op"": ""sort"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Revenue and expending in million Canadian dollars"", ""order"": ""asc""}], ""ops3"": [{""op"": ""nth"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}, ""n"": 2, ""from"": ""left""}]}",,
avwb8xstxx1lmfpk,simpleLine,pending,What is the Year that has the biggest deviation from the total average?,Calculate the average of the Consumer Price Index values across all points in the chart. Compute the absolute difference between each individual value and this overall average. Select the month and year that yields the largest difference.,"{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Consumer Price Index (100 = 1982-1984)""}], ""ops2"": [{""op"": ""diffByValue"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""targetValue"": ""ref:n1"", ""field"": ""Consumer Price Index (100 = 1982-1984)"", ""signed"": false}], ""ops3"": [{""op"": ""findExtremum"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}, ""which"": ""max"", ""field"": ""Consumer Price Index (100 = 1982-1984)""}]}",,
bkemtvekxtnuk8bf,multipleLine,pending,"What is the year when the ""Favorable view of US"" data and ""Confidence in Obama"" is the second nearest?","Compute the absolute difference between the ""Favorable view of US"" and ""Confidence in Obama"" values for each year. Sort the resulting gaps from smallest to largest. Select the year that corresponds to the second value in this ordered list.","{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""groupA"": ""Favorable view of US"", ""groupB"": ""Confidence in Obama"", ""seriesField"": ""Metric"", ""by"": ""Year"", ""field"": ""Percentage"", ""absolute"": true}], ""ops2"": [{""op"": ""sort"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Percentage"", ""order"": ""asc""}], ""ops3"": [{""op"": ""nth"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}, ""n"": 2, ""from"": ""left""}]}",,
1j86ensex8nyvdyk,simpleBar,pending,What 3-year range shows the highest increase?,Calculate the difference in the number of arrivals between the start and end of every 3-year interval in the chart. Compare these calculated differences across all such periods. Select the range that yields the largest positive change.,"{""ops"": [{""op"": ""rollingWindow"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""window"": 3, ""aggregate"": ""max"", ""field"": ""Number of arrivals in millions"", ""orderField"": ""Year""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""max"", ""field"": ""Number of arrivals in millions""}]}",,
273wm22z47ptlhzz,groupedBar,pending,"With today and previous week, do male respondents used the application than female respondents?","Sum the Share_of_Respondents values for the ""Today"" and ""Within the previous week"" categories for male respondents. Compute the corresponding sum for female respondents. Compare the male total to the female total to determine if the male usage exceeds the female usage.","{""ops"": [{""op"": ""retrieveValue"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""target"": ""Male"", ""field"": ""Share_of_Respondents"", ""group"": ""Today""}, {""op"": ""retrieveValue"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 1}, ""target"": ""Male"", ""field"": ""Share_of_Respondents"", ""group"": ""Within the previous week""}, {""op"": ""add"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n1"", ""n2""], ""sentenceIndex"": 1}, ""targetA"": ""ref:n1"", ""targetB"": ""ref:n2""}], ""ops2"": [{""op"": ""retrieveValue"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [], ""sentenceIndex"": 2}, ""target"": ""Female"", ""field"": ""Share_of_Respondents"", ""group"": ""Today""}, {""op"": ""retrieveValue"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [], ""sentenceIndex"": 2}, ""target"": ""Female"", ""field"": ""Share_of_Respondents"", ""group"": ""Within the previous week""}, {""op"": ""add"", ""id"": ""n6"", ""meta"": {""nodeId"": ""n6"", ""inputs"": [""n4"", ""n5""], ""sentenceIndex"": 2}, ""targetA"": ""ref:n4"", ""targetB"": ""ref:n5""}], ""ops3"": [{""op"": ""compareBool"", ""id"": ""n7"", ""meta"": {""nodeId"": ""n7"", ""inputs"": [""n3"", ""n6""], ""sentenceIndex"": 3}, ""operator"": "">"", ""targetA"": ""ref:n3"", ""targetB"": ""ref:n6""}]}",,
12sdcc2xjltg7qj2,groupedBar,pending,"Among the differences between the blue and orange bars, how many times is the largest value greater than the smallest value?",Calculate the absolute difference between the two categories for every year. Find the maximum and minimum values among these resulting gaps. Divide the largest difference by the smallest difference.,"{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""groupA"": ""Total contributions to presidential candidates"", ""groupB"": ""Total spending by presidential candidates"", ""seriesField"": ""Category"", ""by"": ""Year"", ""field"": ""Value_Million_USD"", ""absolute"": true}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""max"", ""field"": ""Value_Million_USD""}, {""op"": ""findExtremum"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""min"", ""field"": ""Value_Million_USD""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n2"", ""n3""], ""sentenceIndex"": 3}, ""targetA"": ""ref:n2"", ""targetB"": ""ref:n3"", ""mode"": ""ratio""}]}",,
72yqb8jwj9a6g4nx,simpleLine,pending,What is the difference between the average from 2011 and the average up to 2010?,Average the values for the years up to and including 2010. Compute the average of the values for the years from 2011 onwards. Subtract the first average from the second.,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""operator"": ""<="", ""value"": ""2010""}, {""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Percentage of internet users""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Year"", ""operator"": "">="", ""value"": ""2011""}, {""op"": ""average"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""field"": ""Percentage of internet users""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n4"", ""n2""], ""sentenceIndex"": 3}, ""targetA"": ""ref:n4"", ""targetB"": ""ref:n2"", ""signed"": true}]}",,
6al86e9qyokma74i,simpleLine,pending,How many years are below average?,Calculate the average of the Number of renunciations across all years. Compare the value for each year against this computed average. Count the years that fall short of the average.,"{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Number of renunciations""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Number of renunciations"", ""operator"": ""<"", ""value"": ""ref:n1""}], ""ops3"": [{""op"": ""count"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}}]}",,
724mfnyk34kp97le,simpleLine,pending,How many years are there that have a lower value than the average?,Calculate the average of the cinema visits across all years. Compare the value for each year against this average. Count the number of years that fall below the calculated mean.,"{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Cinema visits in millions""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Cinema visits in millions"", ""operator"": ""<"", ""value"": ""ref:n1""}], ""ops3"": [{""op"": ""count"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}}]}",,
1q3mzgt77lwo172f,stackedBar,pending,In which year is the difference between the blue and gray bars the greatest?,"Treat the blue and gray bars as the ""0 – 500 million US dollars"" and ""2,001 – 10,000 million US dollars"" asset size categories, respectively. Calculate the absolute difference between the market shares of these two categories for each year. Select the year that produces the largest difference.","{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""groupA"": ""0 – 500 million US dollars"", ""groupB"": ""2,001 – 10,000 million US dollars"", ""seriesField"": ""Asset Size"", ""by"": ""Year"", ""field"": ""Market share"", ""absolute"": true}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""max"", ""field"": ""Market share""}]}",,
0xo3r87obscjsktm,simpleBar,pending,How many times is the difference between El Salvador and Ukraine greater than the difference between El Salvador and Denmark?,"Find the mortality values for El Salvador, Ukraine, and Denmark. Calculate the absolute difference between the values for El Salvador and Ukraine. Compute the absolute difference between the values for El Salvador and Denmark. Divide the first difference by the second difference.","{""ops"": [{""op"": ""retrieveValue"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""target"": ""El Salvador"", ""field"": ""Mortality, Per 1 000 000 Inhabitants, 1997""}, {""op"": ""retrieveValue"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 1}, ""target"": ""Ukraine"", ""field"": ""Mortality, Per 1 000 000 Inhabitants, 1997""}], ""ops2"": [{""op"": ""diff"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n1"", ""n2""], ""sentenceIndex"": 2}, ""targetA"": ""ref:n2"", ""targetB"": ""ref:n1"", ""signed"": false}], ""ops3"": [{""op"": ""retrieveValue"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [], ""sentenceIndex"": 3}, ""target"": ""Denmark"", ""field"": ""Mortality, Per 1 000 000 Inhabitants, 1997""}, {""op"": ""diff"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n4"", ""n1""], ""sentenceIndex"": 3}, ""targetA"": ""ref:n4"", ""targetB"": ""ref:n1"", ""signed"": false}], ""ops4"": [{""op"": ""diff"", ""id"": ""n6"", ""meta"": {""nodeId"": ""n6"", ""inputs"": [""n3"", ""n5""], ""sentenceIndex"": 4}, ""targetA"": ""ref:n3"", ""targetB"": ""ref:n5"", ""mode"": ""ratio""}]}",,
0ykydh8vao50ceou,groupedBar,pending,Which channel shows the maximum difference between the highest value and the lowest value of each channel?,Identify the maximum and minimum values for each channel across all years. Compute the absolute difference between these two extremes for every channel. Select the channel that yields the largest difference.,"{""ops"": [{""op"": ""range"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Share of total gross premiums written""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""max"", ""field"": ""Share of total gross premiums written""}]}",,
4p1m4tsmzmtvsrys,multipleLine,pending,What is the difference between the days when Obama is higher than Romney and the days when Romney is higher than Obama?,Compare the values for Obama and Romney across each date range. Count the number of date ranges where Obama's share is strictly greater than Romney's. Count the number of date ranges where Romney's share is strictly greater than Obama's. Subtract the smaller count from the larger count.,"{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""groupA"": ""Obama"", ""groupB"": ""Romney"", ""seriesField"": ""Candidate"", ""by"": ""Date_Range"", ""field"": ""Share_of_Respondents"", ""signed"": true}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""operator"": "">"", ""value"": 0}, {""op"": ""count"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 2}}], ""ops3"": [{""op"": ""filter"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n1""], ""sentenceIndex"": 3}, ""operator"": ""<"", ""value"": 0}, {""op"": ""count"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n4""], ""sentenceIndex"": 3}}], ""ops4"": [{""op"": ""diff"", ""id"": ""n6"", ""meta"": {""nodeId"": ""n6"", ""inputs"": [""n3"", ""n5""], ""sentenceIndex"": 4}, ""targetA"": ""ref:n3"", ""targetB"": ""ref:n5"", ""signed"": false}]}",,
