chart_id,chart_type,pre_ours,post_ours,baseline_correct,note,user_id,question,explanation,ops_selected,ops_others
1jgaguuh4rqlk7sq,bar_simple,0,0,1,"Ours wired n4 sum to input n1 instead of n3, so both sums are identical and diff=0; baseline and gold both 227915.",,,,,
2ecy6apyrdfpoqbo,bar_grouped,1,1,0,"All 6 years have Beer < Soft+Hot, so answer=6; ours=6 correct, baseline=1 wrong, gold absent.",,,,,
b4o9bh8f969q6kqa,line_simple,0,1,1,,,,,,
ciqofa9lr4z5kz7d,line_multiple,1,1,1,,,,,,
avwb8xstxx1lmfpk,line_simple,1,1,1,,,,,,
bkemtvekxtnuk8bf,line_multiple,1,1,1,,,,,,
1j86ensex8nyvdyk,bar_simple,0,0,1,"Question wants range with max INCREASE (delta)=2015-2017; gold/ours return 2017-2019 (max sum/avg level, not increase); baseline's lagDiff correctly yields 2015-2017.",,,,,
273wm22z47ptlhzz,bar_grouped,0,0,0,Gold compareBool=0.0 (false) matches truth (0.17<0.19); ours produced empty/null (no value); baseline has no spec.,,,,,
1gdzafocxmz7rswi,bar_simple,0,0,1,"Two biggest 335,209 diff=126; 4 years (15,34,68,125)<126. Ours has both findExtremum rank=2 so diff=0→count 0 (wrong); baseline=4 correct; gold=4 correct.",,,,,
9r7co7yl1osn3zg4,line_simple,1,1,1,,,,,,
a6gnu78mgn3xmqhu,line_simple,1,1,1,,,,,,
87b7sitfbe4ttuns,bar_stacked,0,0,0,"All 5 types have active-vs-inactive diff (0.14-0.32) < 1.0, so answer is 5; both systems collapsed to a single aggregate diff instead of per-type, giving ours=1 and baseline=0.",,,,,
2203wq7kgv5ha9fi,bar_grouped,1,1,0,,,,,,
20lb7iojghs85r21,bar_grouped,0,0,0,"True answer is year 2015 (per-year two-smallest diff 0.042); baseline computed a global cross-year min-diff scalar 0.003, wrong; gold and ours have no spec.",,,,,
1xj7x49epprmpod7,bar_grouped,0,0,0,"Gold=122 correct; ours=-140 summed all diffs (filter>0, sum from n1, no ref:n2); baseline=-18 sign-swapped diffs flipped which values pass the >avg filter.",,,,,
7iy5s09teyeaybzy,line_multiple,0,0,0,"Answer should be year 2013; both ours and baseline returned scalar value 0.0 instead of the year, so neither matches.",,,,,
9sdl1j9l1fbhwq09,line_multiple,0,0,0,"True=6 years; ours=0 (count had no filter), baseline=1 (returned a compareBool of equal counts, not a year count); gold=9 counts flattened rows vs pooled avg, not years.",,,,,
1g17ep9vho38jvcz,bar_simple,1,1,1,,,,,,
83hx57gqlkd9sldn,line_multiple,0,0,0,"True 3rd-biggest diff among Bad>Good years is 2013 (64); gold matches, ours gave 2014/14, baseline gave 2009/52 — both wrong.",,,,,
21klhgimadx4zsi9,bar_grouped,0,0,0,"Both summed all revenue (103084) without grouping by year, never identifying 2020 as the max-revenue year.",,,,,
77xb5ug5lhfmkb74,bar_stacked,0,0,0,"Europe=Germany+GB+Spain+RestOfEurope for 2011-2014 sums to 230769 (gold matches); ours grouped only ""Rest of Europe"" giving 62863, baseline produced no spec.",,,,,
a7byilpdrc3cbjr4,bar_stacked,0,0,0,All three systems have exists=false (no spec produced); true answer computed from data is 1 (Spain).,,,,,
7mw5410egrxfi2oy,line_multiple,0,0,0,Ours skipped the filter step (averaged diffs over all 7 years = 32.1429); true answer 33.4 excludes 2002 and 2007.,,,,,
1hlsoeyqlr1r1n41,bar_simple,0,0,0,,,,,,
90tonvacpe7zniv9,bar_stacked,0,0,0,"Answer is perception ""Fair and balanced""; ours returned figure QE II/0.55 (no perception reduction), baseline returned 0.21/Catherine (wrong group); gold absent.",,,,,
ae2xp7bacbbs0kmx,line_simple,1,1,1,,,,,,
1g95in84ywix6pcf,bar_simple,1,1,1,"Only ""a"" creators are Amixem(4085) & Andy(3409); 2nd biggest = Andy; ours=Andy correct, gold & baseline returned Amixem (1st biggest) which is wrong.",,,,,
9r3kyy2jo2o66msh,line_simple,1,1,0,,,,,,
ckptmodbya2m1mih,bar_stacked,1,1,1,,,,,,
rx7zzpt8c0ue86y3,line_multiple,0,0,0,"True avg favorable for years Unfavorable>50 (2013-16: 37,35,38,37)=36.75; ours 42.85=avg of ALL favorable (filter not wired in), baseline NaN (filtered Unfavorable rows but averaged Favorable group); gold no_spec.",,,,,
88sup9tkwx0lwkgw,bar_stacked,0,0,0,"True diff=420; ours=323.0029 (EMEA averaged over all years, not filtered subset); baseline=NaN; gold has no spec.",,,,,
9g5a38vcep03acdu,bar_stacked,0,0,0,,,,,,
fsraebh4cpmzc7ut,line_simple,0,1,1,,,,,,
h33j4k50c44wni7l,line_simple,1,0,1,"5 values are >2.6 and <3.0 (2.7,2.7,2.8,2.9,2.9); ours=10 because n2 filter inputs=[] broke the chain (counted both filters independently); baseline=gold=5 correct.",,,,,
gnin1xu8b8rbtv34,line_multiple,1,0,1,"Diffs ≥10 in 2010(12),2012(11),2013(18),2014(17)=4; ours count wired to n1 (unfiltered, =7) instead of n2.",,,,,
58wxo6da4x2w1ass,bar_grouped,0,0,0,Ours computed Obama-vs-Romney pairDiff (returned Federal=0) instead of each type's Obama share minus All Government workers' Obama share; correct answer is Local Government workers.,,,,,
f12st3qo0kz1egmp,line_multiple,0,0,0,"Answer is yes (2016, unimportant 34→22); ours returned unreduced rows with disconnected lagDiff (inputs:[]), never reducing to the yes/no; gold and baseline produced no spec.",,,,,
a0m3af45az33ngmr,bar_stacked,0,0,0,True answer is 2020; gold target=2020 correct; ours=74.52 (sum) and baseline=1547.94 (diff) both fail to yield a year/share.,,,,,
i0fd8sbi945erf7p,line_multiple,0,1,0,,,,,,
50pei8jwlb2g5h1q,bar_grouped,1,1,0,,,,,,
g1s9b91z7xw8flg2,line_simple,0,1,1,,,,,,
0gt3h2146jc47ovx,bar_simple,0,0,1,"True ratio (19+17)/10=3.6; gold and baseline=3.6 correct; ours returned 0.0 (sum-group failed), incorrect.",,,,,
31d6673lje5rb1nw,bar_grouped,0,0,1,,,,,,
0cy2ufyjsinsswpm,bar_simple,0,1,0,"Ours target=""50-59 years"" matches true answer; baseline returned a near-total scalar (540232) not an age group; gold has no spec.",,,,,
0ivzc37gi49isy9n,bar_simple,1,1,1,,,,,,
guhd9zsodg7n408g,line_simple,1,1,1,,,,,,
0ijwrg723j4v8s3e,bar_simple,0,0,0,"Gold 65.35% matches data; ours filtered only Asia+N.America (92.62%, wrong set); baseline produced empty/null result.",,,,,
56010lp5kjl1p4by,bar_grouped,0,0,0,"Gold=0.2175 matches my ratio-diff computation; both ours and baseline executed to NaN (failed retrieveValue/diff chain), so both wrong.",,,,,
