chart_id,chart_type,question,explanation,operation_spec,status,updated_at
0gacqohbzj07n25s,bar_grouped,What is the difference between the average of surgical values in European countries and the average of surgical values in Asian countries?,"1. European countries identified
2. Obtain the average of the surgical values of European countries
3. Check out Asian countries
4. Find the average of the surgical values of Asian countries
5. Subtract smaller values from larger values","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Country"", ""include"": [""France"", ""Germany"", ""Italy"", ""Russia"", ""Turkey""]}], ""ops2"": [{""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Number of procedures"", ""group"": ""Surgical""}], ""ops3"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 3}, ""field"": ""Country"", ""include"": [""India"", ""Japan""]}], ""ops4"": [{""op"": ""average"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 4}, ""field"": ""Number of procedures"", ""group"": ""Surgical""}], ""ops5"": [{""op"": ""diff"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 5}, ""field"": ""Number of procedures"", ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4"", ""signed"": false}]}",pending,2026-06-30T03:18:34.292Z
0k75gqf8ckjikdym,bar_grouped,For which year was the difference between the average age at marriage for men and women the lowest?,"1. Calculate the difference between the average age at marriage for each year.
2. Compare the differences between each year.
3. Choose the year with the lowest difference ","{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""by"": ""Year"", ""seriesField"": ""Gender"", ""field"": ""Average age at marriage"", ""groupA"": ""Male"", ""groupB"": ""Female"", ""signed"": false, ""absolute"": true}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Average age at marriage"", ""which"": ""min""}], ""ops3"": [{""op"": ""nth"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}, ""n"": 1}]}",pending,2026-06-30T03:18:36.897Z
0oinwvo88bvvs25b,bar_grouped,What was the difference between the maximum value of women and men?,"1. find the maximum value in the men group
2. find the maximum value in the women group
3. calculate the absolute difference from the two values","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""group"": ""Men""}, {""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Share of women and men"", ""which"": ""max""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""group"": ""Women""}, {""op"": ""findExtremum"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""field"": ""Share of women and men"", ""which"": ""max""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 3}, ""field"": ""Share of women and men"", ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4"", ""signed"": false}]}",pending,2026-06-30T03:18:42.778Z
0opt5fjw2xphdgp2,bar_grouped,Which group shows the highest value in the sum of occasionally and infrequently answered?,"1. calculate the sum of each value of occasionally and infrequently
2. find the maximum","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Frequency"", ""include"": [""Occasionally (less than once a month)""]}, {""op"": ""sum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Share of respondents""}, {""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Frequency"", ""include"": [""Infrequently (once a year or less)""]}, {""op"": ""sum"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 1}, ""field"": ""Share of respondents""}], ""ops2"": [{""op"": ""add"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 2}, ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4""}, {""op"": ""findExtremum"", ""id"": ""n6"", ""meta"": {""nodeId"": ""n6"", ""inputs"": [""n5""], ""sentenceIndex"": 2}, ""field"": ""Share of respondents"", ""which"": ""max""}]}",pending,2026-06-30T03:18:47.156Z
0o12tngadmjjux2n,bar_simple,How many years are above the average?,"1. Find average
2. filter which countries are above the average","{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Production in million units""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Production in million units"", ""operator"": "">"", ""value"": ""ref:n1""}, {""op"": ""count"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 2}}]}",pending,2026-06-30T03:18:49.264Z
0s6zi9dyw22qo4rp,bar_simple,What is the difference between the average of September 1896 until December 1896 and the average of January 1897 until April 1897?,"1. calculate the average of sep 1896 until dec 1896
2. calculate the average of jan 1897 until april 1897
3. compare the two averages","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Month/Year"", ""operator"": ""between"", ""value"": [""Sep 1896"", ""Dec 1896""], ""xKindHint"": ""nominal""}, {""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Fatality rate among plague cases""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Month/Year"", ""operator"": ""between"", ""value"": [""Jan 1897"", ""Apr 1897""], ""xKindHint"": ""nominal""}, {""op"": ""average"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""field"": ""Fatality rate among plague cases""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 3}, ""field"": ""Fatality rate among plague cases"", ""targetA"": ""ref:n4"", ""targetB"": ""ref:n2"", ""signed"": true}]}",pending,2026-06-30T03:18:52.650Z
0pzdf7hfbxgjghsa,bar_simple,How big was the change from 2016 to 2017 compared to the change from 2017 to 2018?,"1. retrieve value of 2016 and 2017
2. retrieve value of 2017 and 2018
3. get the difference of the retrieved values","{""ops"": [{""op"": ""retrieveValue"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""target"": ""2016""}, {""op"": ""retrieveValue"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""target"": ""2017""}], ""ops2"": [{""op"": ""retrieveValue"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Year"", ""target"": ""2017""}, {""op"": ""retrieveValue"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Year"", ""target"": ""2018""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n1"", ""n2""], ""sentenceIndex"": 3}, ""field"": ""Production in billion heads"", ""targetA"": ""ref:n2"", ""targetB"": ""ref:n1"", ""signed"": false}, {""op"": ""diff"", ""id"": ""n6"", ""meta"": {""nodeId"": ""n6"", ""inputs"": [""n3"", ""n4""], ""sentenceIndex"": 3}, ""field"": ""Production in billion heads"", ""targetA"": ""ref:n4"", ""targetB"": ""ref:n3"", ""signed"": false}, {""op"": ""diff"", ""id"": ""n7"", ""meta"": {""nodeId"": ""n7"", ""inputs"": [""n5"", ""n6""], ""sentenceIndex"": 3}, ""field"": ""Production in billion heads"", ""targetA"": ""ref:n5"", ""targetB"": ""ref:n6"", ""signed"": false}]}",pending,2026-06-30T03:18:57.172Z
0qz3v0bszsex7jjm,bar_simple,Which fiscal years' expenditures are below average?,"1. Determine average
2. Compare each year's value with the average
3. Filter to countries that are below average","{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Expenditure in billion GBP""}], ""ops2"": [{""op"": ""diffByValue"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""targetValue"": ""ref:n1"", ""field"": ""Expenditure in billion GBP"", ""signed"": true}], ""ops3"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}, ""field"": ""Expenditure in billion GBP"", ""operator"": ""<"", ""value"": ""ref:n1""}]}",pending,2026-06-30T03:18:59.769Z
0egdxqun1m2n9k4z,bar_simple,What is the average of the revenue multiple from 2006 to 2011?,"1. Check the Revenue multiple values from 2006 to 2011.
2. Add all the values
3. Divide by six.","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""operator"": ""between"", ""value"": [""2006"", ""2011""], ""xKindHint"": ""nominal""}], ""ops2"": [{""op"": ""sum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Revenue multiple""}], ""ops3"": [{""op"": ""scale"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}, ""target"": ""ref:n2"", ""factor"": 0.16666666666666666}]}",pending,2026-06-30T03:19:02.408Z
0gvrmm8qbn6o1vya,bar_simple,"What is the average of Season's ticket prices with a ticket price of $60 or less?
","1. Identify the 60 line on the Y-axis.
2. Identify the bar graphs with values ​​under 60.
3. Calculate the average of each bar.","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Average ticket price in US dollars"", ""operator"": ""<="", ""value"": 60}], ""ops2"": [{""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Average ticket price in US dollars""}]}",pending,2026-06-30T03:19:04.401Z
0eq4w2wsl864mhcj,bar_simple,"What is the average of the sales values of a company with a sales volume in million units of 60 or more?
","1. Confirmation of a company with a Sales value of more than 60
2. Finds the average of the values found in number 1","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Sales volume in million units"", ""operator"": "">="", ""value"": 60}], ""ops2"": [{""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Sales volume in million units""}]}",pending,2026-06-30T03:19:06.332Z
0fh0emp095qhq3ag,bar_simple,What is the difference between the largest and smallest values between 2010 and 2019?,"1. Check the highest bar graph between 2010 and 2019 and find the value
2. Check the lowest bar graph between 2010 and 2019 and find the value
3. Subtract value 2 from value 1","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""operator"": ""between"", ""value"": [""2010"", ""2019""], ""xKindHint"": ""nominal""}, {""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Number of victims"", ""which"": ""max""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Year"", ""operator"": ""between"", ""value"": [""2010"", ""2019""], ""xKindHint"": ""nominal""}, {""op"": ""findExtremum"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""field"": ""Number of victims"", ""which"": ""min""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 3}, ""field"": ""Number of victims"", ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4"", ""signed"": false}]}",pending,2026-06-30T03:19:09.895Z
0i9bxppwocx0tyop,bar_simple,How many employees did they have on average between 2008 and 2011?,"1. filter for the years 2008, 2009, 2010 and 2011
2. sum up the number of employees
3. calculate the average ","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""include"": [""2008"", ""2009"", ""2010"", ""2011""]}], ""ops2"": [{""op"": ""sum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Number of employees""}], ""ops3"": [{""op"": ""average"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n1""], ""sentenceIndex"": 3}, ""field"": ""Number of employees""}]}",pending,2026-06-30T03:19:12.413Z
0iv07908ph6y6ifj,bar_simple,What was the average of active users from March '16 to March '19?,"1. filter for the dates March 16 to MARCH 19
2. calculate the average of those filtered dates","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Date"", ""operator"": ""between"", ""value"": [""Mar '16"", ""Mar '19""], ""xKindHint"": ""nominal""}], ""ops2"": [{""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Active users in millions""}]}",pending,2026-06-30T03:19:14.320Z
23wg8zio5ahp40tg,line_multiple,Which year had the biggest gap between favor and oppose?,"1. calculate difference between the values of favor and oppose
2. find extremum","{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""by"": ""Year"", ""seriesField"": ""Opinion"", ""field"": ""Percentage"", ""groupA"": ""Favor"", ""groupB"": ""Oppose"", ""signed"": true, ""absolute"": true}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Percentage"", ""which"": ""max""}]}",pending,2026-06-30T03:19:16.646Z
28bxxhd6omv2l2h1,line_multiple,What is the difference between the maximum and minimum gap between the two groups?,"1. calculate the difference for each value
2. find the maximum value","{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""by"": ""Year"", ""seriesField"": ""Region"", ""field"": ""Life expectancy in years"", ""groupA"": ""Canada"", ""groupB"": ""Newfoundland and Labrador"", ""signed"": true, ""absolute"": true}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Life expectancy in years"", ""which"": ""max""}]}",pending,2026-06-30T03:19:19.241Z
29rxoltwhongoday,line_multiple,"In 2002 and 2017, which year shows the highest gap between two opinion?","1. calculate the difference in 2002 and 2017
2. find the year which has the bigger difference","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""operator"": ""between"", ""value"": [""2002"", ""2002""]}, {""op"": ""pairDiff"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""by"": ""Year"", ""seriesField"": ""Opinion"", ""field"": ""Percentage"", ""groupA"": ""Dissatisfied"", ""groupB"": ""Satisfied"", ""signed"": false, ""absolute"": true}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Year"", ""operator"": ""between"", ""value"": [""2017"", ""2017""]}, {""op"": ""pairDiff"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""by"": ""Year"", ""seriesField"": ""Opinion"", ""field"": ""Percentage"", ""groupA"": ""Dissatisfied"", ""groupB"": ""Satisfied"", ""signed"": false, ""absolute"": true}, {""op"": ""diff"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 2}, ""field"": ""Percentage"", ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4"", ""signed"": false}, {""op"": ""compareBool"", ""id"": ""n6"", ""meta"": {""nodeId"": ""n6"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 2}, ""field"": ""Percentage"", ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4"", ""operator"": "">""}]}",pending,2026-06-30T03:19:23.825Z
2eiyyw562tcvjypp,line_multiple,How many years has Russia had higher favorability than the US?,"1. calculate the difference between Russia and the US
2. count the number of years that Russia is higher than the US",,pending,
1h4rj9i2jtzq589y,line_multiple,"Which of the most recent years is the value of the EU 5-country media with y-axis values between 51 and 61?
","1. Check y-axis number
2. Check the points between 51 and 61
3. Check the year of values corresponding to the EU 5-country media between 51 and 61 
4. Choose the largest year","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Favorable_View_Percentage"", ""operator"": "">="", ""value"": 51, ""group"": ""EU 5-country median""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Favorable_View_Percentage"", ""operator"": ""<="", ""value"": 61, ""group"": ""EU 5-country median""}], ""ops3"": [{""op"": ""findExtremum"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}, ""field"": ""Year"", ""group"": ""EU 5-country median"", ""which"": ""max""}], ""ops4"": [{""op"": ""nth"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 4}, ""n"": 1, ""from"": ""left""}]}",pending,2026-06-30T03:19:35.705Z
14jt6jor7iknkjkl,line_multiple,What is the sum of the Confidence in U.S. present values for the period in which the favorite view of the U.S. is the lowest?,"1. Check the section with the lowest favorite view of U.S. value (2009, 2010, 2011)
2. Check Confidence in U.S. present value corresponding to section 1
3. Add all values of number 2",,pending,
16aphfabldrpgcmd,line_multiple,What is the sum of the number of weights exceeding 3670 in the Boys group and the number of weights exceeding 3550 in the Girls group?,"1. Counting the number of values above 3670 on the Boys graph
2. Counting the number of values above 3550 on the Girls graph
3. Add the number of 1 and 2","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Average weight in metric grams"", ""operator"": "">"", ""value"": 3670, ""group"": ""Boys""}, {""op"": ""count"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Average weight in metric grams""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Average weight in metric grams"", ""operator"": "">"", ""value"": 3550, ""group"": ""Girls""}, {""op"": ""count"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""field"": ""Average weight in metric grams""}], ""ops3"": [{""op"": ""add"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 3}, ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4"", ""field"": ""Average weight in metric grams""}]}",pending,2026-06-30T03:19:51.723Z
1k8qhmg9rui7gtzh,line_multiple,What is the difference between the largest value in Germany and the smallest value in the U.S. between 2010 and 2015?,"1. Find the largest value in Germany between 2010 and 2015.
2. Find the smallest value in the U.S. between 2010 and 2015.
3. Subtract value 2 from value 1.","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""operator"": ""between"", ""value"": [""2010"", ""2015""], ""group"": ""Germany""}, {""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Favorable_View_Percentage"", ""which"": ""max""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Year"", ""operator"": ""between"", ""value"": [""2010"", ""2015""], ""group"": ""US""}, {""op"": ""findExtremum"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""field"": ""Favorable_View_Percentage"", ""which"": ""min""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 3}, ""field"": ""Favorable_View_Percentage"", ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4"", ""signed"": true}]}",pending,2026-06-30T03:19:56.630Z
1p4nnba4568wza9n,line_multiple,How many times did the dominant opinion change?,"1. determine what if the dominant opinion was good or bad for each year (if higher than >50% dominant)
2. compare the dominant opinion for each year with the following and count if there was a change","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Percentage"", ""operator"": "">"", ""value"": 50, ""group"": ""Good""}, {""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Percentage"", ""operator"": "">"", ""value"": 50, ""group"": ""Bad""}], ""ops2"": [{""op"": ""lagDiff"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Percentage"", ""order"": ""asc"", ""absolute"": true}, {""op"": ""lagDiff"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n2""], ""sentenceIndex"": 2}, ""field"": ""Percentage"", ""order"": ""asc"", ""absolute"": true}, {""op"": ""count"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""field"": ""Percentage""}, {""op"": ""count"", ""id"": ""n6"", ""meta"": {""nodeId"": ""n6"", ""inputs"": [""n4""], ""sentenceIndex"": 2}, ""field"": ""Percentage""}, {""op"": ""add"", ""id"": ""n7"", ""meta"": {""nodeId"": ""n7"", ""inputs"": [""n5"", ""n6""], ""sentenceIndex"": 2}, ""targetA"": ""ref:n5"", ""targetB"": ""ref:n6""}]}",pending,2026-06-30T03:20:08.318Z
1vh62ks9wweck6m2,line_multiple,In which year did men and women report the most similar stress levels?,"1. Calculate the absolute differences in stress level of men and women
2. find the minimum","{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""by"": ""Year"", ""seriesField"": ""Gender"", ""field"": ""Level_of_Stress"", ""groupA"": ""Men"", ""groupB"": ""Women"", ""signed"": false, ""absolute"": true}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Level_of_Stress"", ""which"": ""min""}]}",pending,2026-06-30T03:20:10.897Z
