#,chart_type,chart_id,all_id,question,explanation
1,line_simple,2jromeq5u9lloh1s,line_simple_2jromeq5u9lloh1s,Which years has the biggest jump?,"1. Get the difference between every year
2. Get the extremum "
120,line_multiple,4ldjaoujpydpkbu5,line_multiple_4ldjaoujpydpkbu5,In how many years was the difference between Female and Male higher than average?,"1. Calculate the difference between females and males for each year.
2. Calculate the average.
3. Find the years where the difference shows a higher value than the average difference.
4. Count all the found values."
121,bar_stacked,221xwpab655f7g8x,bar_stacked_221xwpab655f7g8x,What is the difference between the youngest age group's population values in an earliest year and the oldest age group's population values in an latest year?,"1. Check the 0-14 age group's population value in 2009
2. Check the over-65 age group's population value in 2019
3. Calculate the difference between them"
122,bar_stacked,23an1hozb7myw4e2,bar_stacked_23an1hozb7myw4e2,Find the year when the share of men's apparel starts to decrease.,"1. Retrieve the share values of men's apparel
2. Get the share differences between neighboring years
3. Find the first year where the difference value is negative"
123,line_multiple,4wqpl5jrdmc75go3,line_multiple_4wqpl5jrdmc75go3,What is the average of direct and total content predicted in the future based on the present(2025)?,"1. Retrieve the values after year of 2026 for both contribution types
2. Calculate the average impact values for both types"
124,line_simple,74p313e1n8rzkfzp,line_simple_74p313e1n8rzkfzp,Find the a pair of age group with the largest difference between adjacent groups,"1. Calculate the differences between adjacent groups
2. Sort the differences
3. Find the maximum value and pair of age group"
125,line_simple,7mgydgux0ay0flv4,line_simple_7mgydgux0ay0flv4,What is the highest period of three years of average sales?,"1. Find the average sales volume between -1 and +1 for each year
2. Sort the average values
3. Find the maximum average value
4. Set the period as [maximum average's year -1 ~ maximum average's year +1]"
126,line_multiple,4pi1e6ev8e0zobww,line_multiple_4pi1e6ev8e0zobww,Find the difference between the average of the first three years of the male group and the average of the last three years of the female group,"1. Calculate the average of the male group population value in 2009, 2010, and 2011
2. Calculate the average of the female group population value in 2018, 2019, and 2020
3. Get the difference between two average values"
127,bar_grouped,1gb8sqnptdsdvagz,bar_grouped_1gb8sqnptdsdvagz,Find a hair removal type with a share of 10% or more in the under 30s group,"1. Retrieve the share values for each hair removal type in under 30s group
2. Check whether each value exceeds 10% or not
3. Find the hair removal types that satisfy the condition"
128,line_multiple,4vcdm7lwwlgdd0h1,line_multiple_4vcdm7lwwlgdd0h1,When was the year when the difference in wealth between the Senate and the House was the least?,"1. Calculate the wealth differences between the Senate and the House in each year
2. Sort the differences
3. Find the maximum value and year"
129,bar_grouped,1hm2mi3o0ejxp7tn,bar_grouped_1hm2mi3o0ejxp7tn,"Among untreated people, find the difference between the proportion of males and the proportion of females","1. Retrieve the share values who are currently untreated
2. Sum the male's share values among them
3. Sum the female's share values among them
4. Get the difference between male's value and female's value"
130,bar_stacked,240rurpp2arislnt,bar_stacked_240rurpp2arislnt,Find the difference between the response with the smallest percentage in the youngest group and the response with the highest percentage in the oldest group,"1. Sort the share values in 18-29 age group
2. Find the minimum value of them
3. Sort the share values in 65+ age group
4. Find the maximum value if them
5. Get the difference between youngest group's minimum value and oldest group's maximum value"
131,bar_stacked,2a8mliwolqqo6s5u,bar_stacked_2a8mliwolqqo6s5u,In what year is the smallest difference between the market size of Asia Pacific region and the remaining three regions?,"1. For each year, get the difference between Asia Pacific's market size and sum of the remaining regions' market size
2. Sort the difference values
3. Find the minimum value and year"
132,bar_simple,1a6pxfig1xf4oeu3,bar_simple_1a6pxfig1xf4oeu3,Find a period with a franchise value of $200 million or less,"1. Find the first year where the franchise value is less than $200 million
2. Find the last year where the franchise value is over than $200 million
3. Get the period "
133,bar_simple,1ashoniy42n3n5jr,bar_simple_1ashoniy42n3n5jr,Find the difference between the average revue with 2020 and the average revue with 2020 excluded,"1. Calculate the average revenue from 2013 to 2019
2. Calculate the average revenue from 2013 to 2020
3. Get the difference between them"
134,line_multiple,4twwx65oath7vrkt,line_multiple_4twwx65oath7vrkt,Find the year in which the value of exports was greater than the minimum value of imports.,"1. Retrieve the minimum value of imports
2. Compare the exports' value of each year and the minimum imports' value
3. Select the years when the export's value is higher than the minimum imports' value"
135,bar_grouped,1ar60b8rke2d8e64,bar_grouped_1ar60b8rke2d8e64,What year is the smallest difference between the two types?,"1. Calculate the rate differences between two types for each year
2. Sort them
3. Find the minimum value"
136,line_simple,7w9v4fsbg5ydxsr2,line_simple_7w9v4fsbg5ydxsr2,Find the difference between the average percentage of even and odd years,"1. Retrieve the even years' percentage value
2. calculate the average of them
3. Retrieve the odd years' percentage value
4. Calculate the average of them
5. Get the difference between even years' average and odd   years' average"
137,bar_simple,1a09xqtrj8zms716,bar_simple_1a09xqtrj8zms716,What is the average value of top 3 malls' per sqaure foot cost?,"1. Sum up the top 3 values(Sydney, Melbourne, Brisbane)
2. Divide the sum value with 3"
138,bar_simple,1bbe64wpvq06sknm,bar_simple_1bbe64wpvq06sknm,"For each fiscal year, find the difference between the corresponding year value and the overall average
","1. Calculate the average value for all fiscal years
2. Get the differences between each year's value and average value"
139,bar_grouped,16fif5hdi8yzml00,bar_grouped_16fif5hdi8yzml00,What is the difference between average of maximum payment in all states and average of minimum payment in all states?,"1. sum up the maximum payment value of all states
2. Divide it with the number of states to calculate the average
3. sum up the minimum payment value of all states
4. Divide it with the number of states to calculate the average 
5. Calculate the difference between two average values"
140,line_simple,827lhm2w7n652knp,line_simple_827lhm2w7n652knp,Count all the years that change from increasing to decreasing,"1. Find a difference between the neighboring years(year - previous year)
2. Check whether each year's difference value is positive or negative
3. Count the years where the difference values are negative"
141,bar_simple,1bv05pu9d8jnidty,bar_simple_1bv05pu9d8jnidty,What is the average value up to before 2026?,"Counts from 2020 to 2025.
Sum all the values.
divide by six."
142,bar_stacked,2mi8b2r0oalayl6g,bar_stacked_2mi8b2r0oalayl6g,Which year has the smallest sum of golf wear and golf gear?,"Find all the year-by-year values of the playoff teams.
Find all the annual values of all teams.
Sum the values by year.
Sort the subtracted values in ascending order.
Find the first value."
143,line_simple,82aqt0k0jnbj3irf,line_simple_82aqt0k0jnbj3irf,Which year is the median number of enterprises?,"count the number of enterprises in each year.
Sort in ascending order.
Find the year of the fifth value."
144,bar_grouped,1jatwi94v2d8cr9u,bar_grouped_1jatwi94v2d8cr9u,What is the difference between the yearly sum of the digital market and the annual sum of the package market?,"Sum all the annual values of the digital market
Sum all the annual values of the package market
Find the difference between the two values"
145,bar_stacked,2bhsybiilde28j87,bar_stacked_2bhsybiilde28j87,What is the average percentage of non-black races that they answered very interested?,"Find the values of white, hispanic, and other very interested.
Sum all these values.
Divide by three."
146,bar_simple,1bywaj7stsb3060c,bar_simple_1bywaj7stsb3060c,What is the average market share for a company with 5 or fewer letters in its name?,"Look for companies with fewer than five letters.
Find all the values of those companies.
Find the average of those values."
147,line_multiple,6ah60yba8o7rw0i9,line_multiple_6ah60yba8o7rw0i9,What is the difference between the maximum value of yogurt with additives and the minimum value of yogurt without additives?,"Find the maximum value of yogurt with additives.
Find the minimum value of the yogurt without additives.
Find the difference between the two values."
148,line_multiple,5p6g89v7l99aes05,line_multiple_5p6g89v7l99aes05,What year has the biggest difference between playoff teams and all teams?,"Obtain all year-by-year values of playoff teams.
Obtain all the yearly values of all teams.
Subtract values by year.
Sort the subtracted values in descending order.
Find the first value."
149,bar_simple,1ce802l2rdg98d7d,bar_simple_1ce802l2rdg98d7d,Which party has the third most respondents?,"sort the number of respondents by party in descending order.
Find the third party."
150,bar_grouped,1hokbw2gmzar9ye8,bar_grouped_1hokbw2gmzar9ye8,What's the difference between women over 60 and men under 40?,"Find the percentage of women over 60 years old.
Find and add percentage values for men under 40.
Subtract two values."
151,line_multiple,5wpw8detqynmqv1s,line_multiple_5wpw8detqynmqv1s,What is the difference between the maximum value for female victims and the minimum value for male victims?,"Find the maximum value for the female victims.
Find the minimum value for male victims.
Find the difference between the two values."
152,line_simple,8e9wp443ff1i6snq,line_simple_8e9wp443ff1i6snq,Which year has the biggest difference in value from the following year?,"Find the values for each year.
Find the difference between the values for each of the following years.
Sort the values obtained in descending order.
Find the first value."
153,bar_stacked,2n0g3tsz1rsz6fgr,bar_stacked_2n0g3tsz1rsz6fgr,What is the largest average value in the industry when you get the average value for each of the five consecutive years?,"Find values for each year in the industry.
Find the average value in five-year increments from 2010.
sort in descending order.
Find the first value."
154,line_simple,8chfa8n079zpfigi,line_simple_8chfa8n079zpfigi,How many years correspond to a value between 20 and 30?,"Find all the values for each year.
count the number of values between 20 and 30.
"
155,bar_grouped,1j7gx35h6i9mpi6j,bar_grouped_1j7gx35h6i9mpi6j,What is the difference between the proportion of respondents who value beauty products and the proportion of respondents who value books?,"Find the proportion of respondents who value beauty products.
Find the percentage of respondents who value books.
Subtract two values."
156,bar_stacked,2yech0pea1xihind,bar_stacked_2yech0pea1xihind,What is the sum of percentage using META's platform as a separate times a day?,"Count 'several times a day' of the meta platform
Sum all the values"
157,line_multiple,64ue1v00wj8vg48e,line_multiple_64ue1v00wj8vg48e,What is the difference between the average of the values before 2010 and the average of the values after 2010 in should be valid?,"Find the average value of the values before 2010 of should be value.
Find the average value of the should be value since 2010.
Find the difference between the two values."
158,bar_simple,1dm30xw1gpjo8ke5,bar_simple_1dm30xw1gpjo8ke5,What is the average of the maximum and minimum values of share of GDP?,"Find the maximum value of shared of GDP.
Find the minimum value of shared of GDP.
Find the average of the two values."
159,line_simple,8hiwwys6qkrbtapb,line_simple_8hiwwys6qkrbtapb,What is the difference between the average crime rate in the years before 2010 and the average crime rate in the years since 2010?,"Find the crime rates for the years before 2010.
Average the values.
Find the crime rates for the years since 2010.
Average the values.
Find the difference between the two values."
160,bar_grouped,1mzcynif2s4mm6ps,bar_grouped_1mzcynif2s4mm6ps,What is the difference between the Enterprises sum and the Providers sum?,"Find the sum of Enterprises values.
Find the sum of Provider values.
Find the difference between the two values."
161,bar_stacked,54gh54f24irr63pb,bar_stacked_54gh54f24irr63pb,Which of the most recent year's Party_advantage values has the largest Party_Advantage value of all years?,"Find the most recent year Number_of_States.
Find the smallest of the values.
Finds the value with the largest value in the entire year."
162,bar_grouped,1p6uue3hxdxit3ey,bar_grouped_1p6uue3hxdxit3ey,Which of the responses of people who are 30 to 44 years old have a higher value compared to those who are yes and no?,"1. Check the value of 30 to 44 years.
2. In number 1, compare the value with the value with the response No and the value Yes."
163,bar_simple,1fngt6cb1d60a2ow,bar_simple_1fngt6cb1d60a2ow,"Does the value of all regions except Metro Total exceed 50,000?","Add all the values of the regions except Metro Total.
Compare that value to 50,000."
164,line_multiple,6rvtt4egfl5nmyue,line_multiple_6rvtt4egfl5nmyue,If you find the second largest year in value when you sort the values from 2012 to 2017 in descending order when the gender is female?,"Check the value of the person who is a woman.
Check the values from 2012 to 2017 among these values.
Sort the values in descending order.
Find the year of the second-largest value among the values sorted in descending order."
165,bar_grouped,1suppecte0dm69gm,bar_grouped_1suppecte0dm69gm,Is the average of Men's Not at all and Women's Not at all greater than All Results' Not at all?,"Add Men's Not at all value and Women's Not at all value.
Divide the added value by two.
Compare to the All results value."
166,bar_simple,1e56qqj7moat9gqa,bar_simple_1e56qqj7moat9gqa,What is the value of Spending in Billion US Dollars if you find it and add it?,"Finds the same value for Spending in billion US Dollars.
Add the corresponding values."
167,line_multiple,6p4fnscalopvysnn,line_multiple_6p4fnscalopvysnn,What is the highest value of all year values above 40?,"Find a value over 40.
Find the highest value of each value."
168,bar_stacked,50y71e5i2n28gkbx,bar_stacked_50y71e5i2n28gkbx,What is the average of Sportswear and Running in 2017 and 2018 combined?,"Get the years 2017 and 2018.
Add the Sportswear and Running values for the years.
Divide the added value by two."
169,bar_stacked,75yz7pci1w1dif3g,bar_stacked_75yz7pci1w1dif3g,Which of the total Age_Group has the third largest difference between none of these values in terms of cheese and onion values 18–24?,"Find None of these and Cheese and onion values from the entire Age_Group, respectively.
Find the third largest number of those values"
170,line_multiple,7extlfw651gqc5fk,line_multiple_7extlfw651gqc5fk,Is the difference between the maximum value of having a large role and the minimum value of having a small role in the entire year equal to the average value of all values in the entire year?,"Find the maximum value of the role being large and the minimum value of the role being small in the entire year.
Find the difference between the two values.
Finds the average of all values for the entire year.
Compare the difference and the mean value."
171,line_multiple,6rqevjp16hadlyly,line_multiple_6rqevjp16hadlyly,Is the difference between the values of 2007/08 and 2011/12 the same for men and women?,"Find the difference between the values of 2007/08 and 2011/12 respectively.
Compare the two."
172,bar_simple,1esx2fbduhqn7knk,bar_simple_1esx2fbduhqn7knk,What is the average of the remaining values except for the maximum and minimum values?,"Find the maximum and minimum values.
Add the remaining values except for the two.
Divide the remaining values by the number of them from the added values."
173,bar_simple,1epzpacytv3wx2i6,bar_simple_1epzpacytv3wx2i6,Are the values from 2010 to 2013 going up?,"Find the 2010 and 2013 values.
Verify that the size values are rising."
174,bar_grouped,1qm2z3ooawf339jz,bar_grouped_1qm2z3ooawf339jz,"Which of the total responses is greater when comparing the value of East with the value of Scotland?
","Add East and Scotland values for each response
Compare the additional values."
175,line_simple,95yhyqjyeu4fohbj,line_simple_95yhyqjyeu4fohbj,Is the average of the minimum and maximum values greater compared to the value in 2010?,"
Add the minimum and maximum values.
Divide the added value by two.
Find the value for 2010.
Compare the value in 2010 with the average value added."
176,bar_stacked,62w3xg16iivw11et,bar_stacked_62w3xg16iivw11et,Is the average of the 2010s industry values the same as the Services average?,"Add to the Industry values of the 2010s.
Divide the added Industry values by the number of years.
Add the services values from the 2010s.
Divide the additional Services values by the number of years.
Compare the two values."
177,line_simple,95wcyze391ifhegp,line_simple_95wcyze391ifhegp,What is the average of the highest and lowest values in the entire year?,"Find the highest and lowest values.
Add the value obtained.
Divide the value by 2."
178,line_simple,9douccar3m9ruah4,line_simple_9douccar3m9ruah4,Is the average of Men's Not at all and Women's Not at all greater than All Results' Not at all?,"Add Men's Not at all value and Women's Not at all value.
Divide the added value by two.
Compare to the All results value."
179,line_simple,9mlpjn6pddrbthj8,line_simple_9mlpjn6pddrbthj8,"When the values for the entire year are sorted in ascending order, is the third value greater than the average of the values added in 2011 and 2012?","Sort the values for the entire year in ascending order.
Verify the third of the sorted values.
Find the average of the values for 2011 and 2012
Compare the third value with the corresponding average value."
180,bar_grouped,1x37jzohqd666qc0,bar_grouped_1x37jzohqd666qc0,"Is the average value of ""Don't know/no opinion"" in all categories equal to the difference between ""Very unlikely"" in ""Family"" and ""Very unlikely"" in ""Local community"" plus the difference between ""Somewhat unlikely"" in ""Family"" and ""Local community""?","Find the Don't know/no opinion average for all categories.
Find the value of Very Unlikely of the family category minus the Very Unlikely value of the Local community.
Find the value of Somewhat unlikely the family category minus the value of the community's Somewhat unlikely value of the Local community..
Add these two values.
Compare the mean and these two values to the added value."
181,line_multiple,9u3xwiltv2hlcqq1,line_multiple_9u3xwiltv2hlcqq1,Strong leader= preference for current leadership in respondents. What is a general rlationship between the preference for strong leadership and democratic government between 2007 and 2012. Can this generalize to other periods?,"1. Notice in 2007 -2012 the preference for Democratic government
 steadily increases and preference for strong leader steadily decreases, defining an inverse relationship between variables. 
2. See this inverse relationship exist in other periods, 2012-2015 (reversed but still inverse) amd 2002-2007. Inflection points same for all periods."
182,bar_simple,1hv85ef35tbvldiq,bar_simple_1hv85ef35tbvldiq,How many years was revenue less than 2 billion us dollars?,"1. find the y axis line for 2 billion 
2. select years bellow that line = 2010 2019 2020
3. answer 3 years"
183,line_multiple,au22oa0vjosoagxu,line_multiple_au22oa0vjosoagxu,What time period was there a decrease in life expectancy for males?,"1. Attend to the orange male line
2. Notice inflection point in 2014 
3. Note decrease from 2008-2014"
184,line_simple,albgfrf44bz6134k,line_simple_albgfrf44bz6134k,Is the average annual increase from 2009-2019 same as any annual increase in inhabitants?,"1. Determine the average annual increase
2. Notice that the slope is steady so that this increase reprenents the anual increase."
185,bar_grouped,23bplnbw291p6nil,bar_grouped_23bplnbw291p6nil,How much less were women's median earning then men's in age group from 50-59?,"1. Determine female and male median f=30,000 gbp and m= 34,000
2. Subtract f from m to find difference = 4000"
186,bar_stacked,aoycx517slbw0ifa,bar_stacked_aoycx517slbw0ifa,Which division contributed the most revenue in the years of 2015 -2018 and how much revenue did the industry contribute total?,"1. Filter out 2019 and 2020 data
2. sum 4 year contributions from 2015 -2018 for all three divisions or visually identify entertainment is clear high contributor 
3. Entertainment div. sum (750-200+800-200+750-210+650-220)"
187,line_simple,aqowly2mmavof3f1,line_simple_aqowly2mmavof3f1,What years saw the longest continous period of decrease in the unemplowment rate,"Find the longest domain range without increase. 
2011-2019"
188,bar_grouped,23zc8kuhnpespj98,bar_grouped_23zc8kuhnpespj98,Which Genre is most popular among Boys respondents?,"1. Determine boys are represented by blue.
2. Look for the tallest bar. 
3. Comedy!"
189,bar_simple,1hm06wtar7gh92c8,bar_simple_1hm06wtar7gh92c8,"If the total population was 100,000 in 2020, what was the population over 65 years old?","1. Identify population share of 65 +, which is .065.
2. Multiply total population times above rate."
190,line_simple,amn6abwhwmc7ksaz,line_simple_amn6abwhwmc7ksaz,What year did the greatest total change in us dollars per whatt occur?,"1. Notice that we are looking for absolute value difference and changes can be positive or negative.
2. Realize a year is sum of change over 4 quarters.
3. The year 2016 has the greatest change by far."
191,bar_grouped,221xoyhy3yziwabm,bar_grouped_221xoyhy3yziwabm,"In 2014, were more respondents satisfied (very satisfied+ satisfied) or disatified (very dissatisfied+ dissatisfied)?","1. Focus on blue bars only 
2. Determine total satisfied percentage for 2014 (.13+.43)
3. Determine disatissfied (.8+_.32)
4. Compare satisfied and disatisfied find disatisfied is slightly smaller percentage"
192,bar_grouped,25n4mzhv6y1p36dl,bar_grouped_25n4mzhv6y1p36dl,In what sector did respondents spend more least frequently,"determine spend more category is red
find lowest bar in computer software"
193,bar_stacked,ay58pwlf97q0osw6,bar_stacked_ay58pwlf97q0osw6,Which channel has the most variation in revenue range?,"1. Filter red channel visually to compare orange and blue
2. calculate orange range: min = 20, max = 280
3. calculate blue range min= 50, max = 310
4. compare range totals  260=260
5. Range is the same for blue and orange = they have the same max varriance! "
194,line_multiple,bhaqrpqx0hwtcol5,line_multiple_bhaqrpqx0hwtcol5,What year is the greatest difference in life expectancy observed in northwest territories vs canada?,observe the largest gap occurs in 2016-2017
195,line_multiple,b1jrtiwi2x01zdtw,line_multiple_b1jrtiwi2x01zdtw,In 2005 what is the differnce between share of engaged and disengaged respondents?,"1. engaged respondent = orange =26%
2. disengaged = red plus blue= 15%+58% = 73%
3 find difference 73-26= 47%"
196,bar_stacked,bfi0ia7zx8pjb5g8,bar_stacked_bfi0ia7zx8pjb5g8,How many years is the share of retail revenue from foreign operations fom hardlines and diversified greater then 60?,"determine we are excluding blue apparel category 
find y=60 line
determine 2 years below line (2018 and 2019)"
197,line_simple,ahxo354yj7g4m6h1,line_simple_ahxo354yj7g4m6h1,"If the total GDP is 2 billion, what was the average annual percentage increase in this industry's gdp contribution from 2000 to 2010?","1. Determine industry gdp percentage increase from 2000-2010 (10-8)= 2% increase 
2. 2 billion times .02
3. divide percentage by 10 years to find anual =x/2 billion "
198,bar_stacked,apsxmes1emdu9vtk,bar_stacked_apsxmes1emdu9vtk,"In the age group with the most steady inhabiants, how may inhabitants were there in 2018?","1. deterrmine the green color group (80 and over) exhibits little to know change.
2. Find the year 2018 and read value =.25= 250,000"
199,bar_simple,1hp11sl0mo4ohtpo,bar_simple_1hp11sl0mo4ohtpo,In which fiscal year was there the greatest increase in average ticket price and what was the value of the increase?,"1. Determine the greatest increase was between 2012/13 and 2013/14.
2. subtract ticket price in 2012/13 from 2013/2014 =58-44= $6"
200,bar_simple,1it2ia9kmdihxan8,bar_simple_1it2ia9kmdihxan8,How many years were ther less then 50 incidents observed,"1. find the line for y=50 
2. deteremine how many year total are below line = 9 years"
201,line_simple,b8um9hhxelrqowd9,line_simple_b8um9hhxelrqowd9,Is the value in 2010 bigger than the average?,"1. Calculate the average
2. Compare the average value with the value in 2010"
202,line_multiple,c41fny6w7gwpawbn,line_multiple_c41fny6w7gwpawbn,When is the year that has the lowest difference between two opinions?,"1. For each year, find the difference between two opinion
2. By the number from step 1, find the year that has the lowest difference."
203,bar_grouped,263367gingx3k5hu,bar_grouped_263367gingx3k5hu,What is the Sum of the increases between the two terms for Asian countries (excluding the Middle East)?,"1 Subtract the number of two terms and find the difference: only from China, Japan, South Korea, Taiwan, and other Asian countries
2. Sum the difference calculated in step 1"
204,bar_stacked,bnil22qu3wwatrc7,bar_stacked_bnil22qu3wwatrc7,"According to this chart, what is the difference between the average number of ""A better place to live"" opinion of Western Europe and the rest?","1. Define Western Europe: Netherlands, Germany, UK, France
2. Find the average number of ""A better place to live"" opinion of Western Europe and the rest.
3. Find the difference of the two numbers"
205,bar_simple,1lg9qn6shf8ifsdq,bar_simple_1lg9qn6shf8ifsdq,Is the sum of the values until Jan 2013 times three smaller than the sum of the values from Feb 2013?,"1. Calculate the sum of the first five values and the last five values.
2. Calculate the value of the sum of the first five values times three
3. Compare the value acquired from step 2 and the sum of the last five value acquired from step 1."
206,bar_grouped,2a7luy1tzrplr2as,bar_grouped_2a7luy1tzrplr2as,What is the number of years where the total rice export shows over 6 billion?,"1. each year, calculate the sum of Basmati rice and Non-Basmati rice
2. Count the number over 6 billion"
207,line_simple,awg12vb36ndo75tq,line_simple_awg12vb36ndo75tq,Do poverty range increase faster in last 6 years than the first 6 years from this chart?,"1. Find the delta number of the last 6 years(2015-2020) and first 6 years(2008-2013)
2. Compare the number from step 1"
208,line_multiple,cby91tt3tvahsmuj,line_multiple_cby91tt3tvahsmuj,Is the difference between the parties in 2012 bigger than the average of the differences of all years?,"1. Calculate the difference for each year
2. Calculate the average of the difference from the previous step.
3. Compare the values between the difference in 2012 and the average difference."
209,bar_simple,1lf1h5jf9ymeid5q,bar_simple_1lf1h5jf9ymeid5q,Count the number of year that consists more than 3 million shipments increase compared to last year.,"1. Find all of the number of difference between 'this year' and 'last year' (from 2001 to 2017)
2. Count that has the difference more than 3 million. "
210,bar_stacked,bpmaqi8nt785y4ay,bar_stacked_bpmaqi8nt785y4ay,Count the year when American flims occupied the majority(more than 50%) of cinema admissions. Do they occupied the majority more than 3 years?,"1. Filter the year American flims occupied more than 50% of cinema admissions
2. Count the year and compare to the criteria: 3 years"
211,bar_stacked,c3mncg8r4g6bjoon,bar_stacked_c3mncg8r4g6bjoon,Is Germany has higher share of respondents in Gasoline or diesel compared to the average of rest of the countries?,"1. Calculate the average of the share of respondents in Gasoline or diesel of other countries.
2. Compare the average value acquired from the previous step and the value of Germany in Gasoline and diesel."
212,bar_stacked,c1dkepdvg39l54su,bar_stacked_c1dkepdvg39l54su,Do respondents from London has more preference to used car compared to the average of whole region?,"1. Find the percentage of preference of used car from London
2. Find the average percentage of preference of used car from whole region
3. Compare the two numbers and get the answer"
213,bar_simple,1jgaguuh4rqlk7sq,bar_simple_1jgaguuh4rqlk7sq,What is the difference of the sum of sales between the first six years and the last six years?,"1. Sum the numbers: first rage: 2008 to  2013, second range: 2014 to 2019
2. Subtract the two numbers and find the difference"
214,bar_grouped,2ecy6apyrdfpoqbo,bar_grouped_2ecy6apyrdfpoqbo,How many fiscal year exist where the beer is smaller than the sum of soft drink and hot dog?,"1. For each year, calculate the sum of soft drink and hot dog.
2. For each year, compare the value between the beer and the sum value acquired in the previous step.
3. Count the number of years where the beer is smaller than the sum of soft drink and hot dog"
215,line_simple,b4o9bh8f969q6kqa,line_simple_b4o9bh8f969q6kqa,What is the number of years where the value is lower than the average?,"1. Calculate the average of the index score.
2. Count the number of years where the index score is lower than the average"
216,line_multiple,ciqofa9lr4z5kz7d,line_multiple_ciqofa9lr4z5kz7d,What year shows the second lowest absolute difference between Revenue and Expenditure?,"1. Calculate the difference between Revenue and Expenditure for each year
2. Find the year where the difference is second lowest."
217,line_simple,avwb8xstxx1lmfpk,line_simple_avwb8xstxx1lmfpk,What is the Year that has the biggest deviation from the total average?,"1. Find the average CPI by the data.
2. Calculate standard deviation from each of the data
3. Find the Biggest standard deviation."
218,line_multiple,bkemtvekxtnuk8bf,line_multiple_bkemtvekxtnuk8bf,"What is the year when the ""Favorable view of US"" data and ""Confidence in Obama"" is the second nearest?","1. Each year, find the difference between the percentage of ""Favorable view of US"" and ""Confidence in Obama""
2. Compare the number from step 1 and find the 2nd lowest number."
219,bar_simple,1j86ensex8nyvdyk,bar_simple_1j86ensex8nyvdyk,What 3-year range shows the highest increase?,"1. Find all of the 3-year increasing rate(delta)
2. Compare all of the ranges and find the 3-year range showing the highest increase."
220,bar_grouped,273wm22z47ptlhzz,bar_grouped_273wm22z47ptlhzz,"With today and previous week, do male respondents used the application than female respondents?","1. Sum the percentage of the data ""Today"" and ""Within the previous week"" 
2. Compare the number from step 1 between two genders"
221,bar_simple,1gdzafocxmz7rswi,bar_simple_1gdzafocxmz7rswi,How many years have the lower traffic in petabytes than the difference of two biggest traffics in petabytes.,"1. Find two biggest traffics in year.
2. Get the difference of those values.
3. Count the years which have a lower traffic than the difference."
222,line_simple,9r7co7yl1osn3zg4,line_simple_9r7co7yl1osn3zg4,How many years have a bigger export value than the average of them?,"1. Calculate the average of export values.
2. Find the years which have a bigger export value than the average.
3. Count the years found."
223,line_simple,a6gnu78mgn3xmqhu,line_simple_a6gnu78mgn3xmqhu,How many years have a lower index score than the average score across the years?,"1. Find the average index score across years.
2. Count the years which have a lower index score than the average."
224,bar_stacked,87b7sitfbe4ttuns,bar_stacked_87b7sitfbe4ttuns,How many restaurant types have smaller difference between currently-active and currently-inactive share of respondents than 1.0?,"1. Get the summation of currently-active(very active, somewhat active) share of respondents and currently-inactive(not active, plan to be more active in 2015) share of respondents for every restaurant type.
2. Calculate the difference between those two values.
3. Count the restaurant types which has smaller difference than 1.0."
225,bar_grouped,2203wq7kgv5ha9fi,bar_grouped_2203wq7kgv5ha9fi,Which age group has the highest difference in share between housing status within the groups which have a higher portion on housing status with buying with mortage?,"1. List age groups which have a higher portion on housing status with buying with mortage.
2. Calculate the difference in share between housing status for those age groups.
3. Find the age group which has the highest difference."
226,bar_grouped,20lb7iojghs85r21,bar_grouped_20lb7iojghs85r21,Which year has the biggest difference in percentage of respondents between two percentages which is smaller than the other percentage for every year?,"1. Find the two smallest percentages of respondents for every year.
2. Calculate the difference for every year.
3. Find the year which has the biggest difference."
227,bar_grouped,1xj7x49epprmpod7,bar_grouped_1xj7x49epprmpod7,What is the sum of the difference of number of companies from between domestic market and total market which has a bigger difference than the average difference.,"1. Get the difference of number of companies for every year.
2. Calculate the average of the difference.
3. Find the difference values which are bigger than the average.
4. Sum the filtered difference values."
228,line_multiple,7iy5s09teyeaybzy,line_multiple_7iy5s09teyeaybzy,Which year has the closest value with the average value in sum of life expectancy for both genders?,"1. Calculate the sum of life expectancy for female and male for every year.
2. Get the average of the sum.
3. Calculate the difference with the average for every year.
4. Find the year which has the smallest difference."
229,line_multiple,9sdl1j9l1fbhwq09,line_multiple_9sdl1j9l1fbhwq09,How many years have higher life expectancy than its average for both genders?,"1. Calculate the average of life expectancy for both genders.
2. Count the years where life expectancy is higher than the average for both genders."
230,bar_simple,1g17ep9vho38jvcz,bar_simple_1g17ep9vho38jvcz,How many continents have a bigger share than the share difference between the continents which have the biggest share and the lowest share?,"1. Sort continents by share.
2. Find continents with the biggest share and the lowest share.
3. Calculate the difference between the shares.
4. Find the continents which have a bigger share than the difference."
231,line_multiple,83hx57gqlkd9sldn,line_multiple_83hx57gqlkd9sldn,Which year has the 3rd biggest difference between the percentage of bad and good opinion for the years which have more bad opinions than the good ones.,"1. Find the years which have more bad opinions than  good opinions.
2. Sort the years by the difference of the percentage of bad and good opinions.
3. Get the year with 3rd biggest difference."
232,bar_grouped,21klhgimadx4zsi9,bar_grouped_21klhgimadx4zsi9,Which year has the most revenue across all sectors?,"1. Get the summation of revenue for all sectors for years.
2. Find the year which has the biggest sum."
