chart_type,chart_id,question,explanation
bar_grouped,0oinwvo88bvvs25b,What was the difference between the maximum value of women and men?,Find the highest bar value among the Women bars across all services. Find the highest bar value among the Men bars across all services. Subtract the Men maximum from the Women maximum to get the difference.
line_simple,1vni31fp2ii7wz68,Which year showed the highest drop?,Group the points by year using the year portion of the Month labels. Calculate the month-to-month change in Number in millions within each year. Find the largest negative change (biggest drop) for each year. Compare those yearly biggest drops and select the year with the most negative one.
line_multiple,20gpvz4ylu4olrm7,What is the average difference between Women and Men from 2000?,"Filter the chart to the years from 2000 onward (2000, 2004, 2008, 2012). Subtract the Men percentage from the Women percentage for each of those years. Average those four year-by-year differences."
bar_simple,0k7bm9iqewnrzj47,Is the average of the top three greater than twice the average of the lowest three?,Sort the bars by “Production in million liters” to pick the three highest and the three lowest values. Calculate the average production of the top three and the average production of the bottom three. Multiply the bottom-three average by two. Compare the top-three average to that doubled value.
bar_stacked,0vfqjaxeiv96ww7g,What is the difference between white and black who answer more than most of all time?,Interpret “more than most of all time” as the “Almost all of the time” discussion-frequency segment. Read the Percentage values for White and Black in that segment from the chart. Subtract the White value from the Black value to get the difference.
bar_grouped,0opt5fjw2xphdgp2,Which group shows the highest value in the sum of occasionally and infrequently answered?,Locate the bars for each Race/Ethnicity in the “Occasionally (less than once a month)” column and note their values. Retrieve the corresponding values for the same Race/Ethnicity in the “Infrequently (once a year or less)” column. Add the two values for each group. Compare these sums across groups and select the largest.
line_simple,25gpdzxh8nu0c0vf,"In average and median values, which one is bigger?",Calculate the average of the Number_of_Fatalities values across all years shown in the chart. Sort the Number_of_Fatalities values and take the middle value to get the median. Compare the computed average and median to determine which is larger.
line_multiple,20qa83ih1gn6toqt,Which year shows the lowest gap between convenience and price,Extract the Convenience and Price values for each year from the chart. Calculate the absolute difference between those two values within each year. Compare these yearly differences. Select the year with the smallest difference.
bar_simple,1gdzafocxmz7rswi,How many years have the lower traffic in petabytes than the difference of two biggest traffics in petabytes.,Sort the bars by the “Traffic in petabytes per month” value to find the two largest traffics. Subtract the second-largest traffic from the largest to get the difference. Compare each year’s traffic against that difference. Count the years whose traffic is lower than the computed difference.
line_simple,9r7co7yl1osn3zg4,How many years have a bigger export value than the average of them?,Calculate the average of the export values across all years shown in the chart. Compare each year’s export value to that average. Count the years whose export value is greater than the average.
line_simple,a6gnu78mgn3xmqhu,How many years have a lower index score than the average score across the years?,Calculate the average of the index scores across all years shown in the chart. Compare each year’s index score to that average. Count the years whose index score falls below the average.
bar_stacked,87b7sitfbe4ttuns,How many restaurant types have smaller difference between currently-active and currently-inactive share of respondents than 1.0?,Group the bars by Restaurant_Type. Add the “Very active” and “Somewhat active” segments to get the currently-active share for each restaurant type. Use the “Not active” segment as the currently-inactive share for each restaurant type. Calculate the absolute difference between currently-active and currently-inactive for each restaurant type. Count how many of these differences are less than 1.0.
bar_grouped,2203wq7kgv5ha9fi,Which age group has the highest difference in share between housing status within the groups which have a higher portion on housing status with buying with mortage?,Filter the age-group panels to those where the “Buying with mortgage” bar is taller than the “Own outright” bar. Calculate the within-panel difference in share between the two housing-status bars for each remaining age group. Compare these differences across the filtered age groups. Select the age group with the largest difference.
bar_grouped,20lb7iojghs85r21,Which year has the biggest difference in percentage of respondents between two percentages which is smaller than the other percentage for every year?,Compute the pairwise differences between the three grade percentages within each year. Keep only the differences where the smaller percentage is subtracted from the larger percentage. Compare these within-year gaps across all years. Select the year with the maximum such gap.
bar_grouped,1xj7x49epprmpod7,What is the sum of the difference of number of companies from between domestic market and total market which has a bigger difference than the average difference.,Calculate the yearly difference by subtracting the Domestic market value from the Total market value for each year. Average these yearly differences across all years in the chart. Filter to the years whose difference is greater than that average. Sum the differences for the filtered years.
line_multiple,7iy5s09teyeaybzy,Which year has the closest value with the average value in sum of life expectancy for both genders?,Sum the female and male life expectancy values for each year to create a yearly combined total. Calculate the average of these yearly combined totals across all years shown. Compute the absolute difference between each year’s combined total and that overall average. Select the year with the smallest absolute difference.
line_multiple,9sdl1j9l1fbhwq09,How many years have higher life expectancy than its average for both genders?,Calculate the average life expectancy across all years for the female series. Calculate the average life expectancy across all years for the male series. Compare each year’s female value to the female average and each year’s male value to the male average. Count the years where both comparisons are above their respective averages.
bar_simple,1g17ep9vho38jvcz,How many continents have a bigger share than the share difference between the continents which have the biggest share and the lowest share?,Find the continent with the highest share and the continent with the lowest share in the chart. Calculate the difference between those two shares. Compare each continent’s share to that difference. Count how many continents have a share greater than the computed difference.
line_multiple,83hx57gqlkd9sldn,Which year has the 3rd biggest difference between the percentage of bad and good opinion for the years which have more bad opinions than the good ones.,Filter the chart to the years where the Bad percentage is higher than the Good percentage. Calculate the difference (Bad minus Good) for each of those years. Sort these differences from largest to smallest. Select the year associated with the third entry in that sorted list.
bar_grouped,21klhgimadx4zsi9,Which year has the most revenue across all sectors?,Sum the Revenue_Million_Euros values across the three Sector bars within each Year column. Compare these yearly totals across all columns. Select the year with the largest combined total.
bar_stacked,77xb5ug5lhfmkb74,What is the sum of number of employees from Europe region before 2015?,"Treat the Europe region as the four categories Germany, Great Britain, Spain, and Rest of Europe. Filter the chart to the years before 2015 (2011–2014). Sum the Number_of_Employees values across those Europe categories for each of those years. Add the yearly Europe totals to get the overall sum."
bar_stacked,a7byilpdrc3cbjr4,How many countries have the highest percentage of opinions to keep the same and its following higher opinion is to decrease?,"For each country’s stacked bar, compare the three opinion segments and determine whether “Keep the same” is the largest segment. For those countries, compare the “Increase” and “Decrease” segments to see whether “Decrease” is larger than “Increase.” Count the countries that satisfy both conditions."
line_multiple,7mw5410egrxfi2oy,"What is the average of difference in values except for two years which have the biggest opinion value for favorable and unfavorable, respectively?","Compute the absolute difference between Favorable and Unfavorable for each year shown in the chart. Identify the year with the highest Favorable value and the year with the highest Unfavorable value, and exclude those two years from the set. Average the remaining year-by-year differences."
bar_simple,1hlsoeyqlr1r1n41,How many regions have the smaller revenue than the average of revenue across regions except for the one with the highest revenue?,Exclude the region with the tallest bar from the set of regions. Calculate the average revenue of the remaining regions. Compare each region’s revenue against that average. Count the regions whose bars fall below the computed average.
bar_stacked,90tonvacpe7zniv9,Which perception has the biggest share across the royal figures whose gender is female?,"Treat the female royal figures as Meghan, Duchess of Sussex and Catherine, Duchess of Cambridge. Add the Share_of_Respondents values across those two figures for each Perception category. Compare the resulting totals across perceptions. Select the perception with the largest combined total."
line_simple,ae2xp7bacbbs0kmx,How many months have a lower index than the average of index across the years?,Calculate the average of the Index (2010=100) values across all months shown in the chart. Compare each month’s index value to that overall average. Count the months whose index value is below the average.
bar_simple,1g95in84ywix6pcf,"Which creator has the 2nd biggest number of subscribers within creators starting with alphabet ""a""?",Filter the bars to creators whose names start with the letter “a”. Compare the subscriber values among those filtered creators. Select the creator with the second-highest subscriber value in that subset.
line_simple,9r3kyy2jo2o66msh,Which month has the biggest increasing rate in number of femicides comparing with the previous month except for april?,Compute the month-to-month change in the Number of femicides by subtracting each month’s value from the previous month’s value. Exclude April from consideration as specified. Compare the remaining positive changes to find the largest increase. Select the month associated with that largest increase.
bar_simple,1bv05pu9d8jnidty,What is the average value up to before 2026?,Filter the chart to the years earlier than 2026. Sum the “National debt in billion US dollars” values for those years. Count how many years are included in that filtered set. Divide the sum by the count to get the average.
bar_stacked,2mi8b2r0oalayl6g,Which year has the smallest sum of golf wear and golf gear?,Locate the two stacked segments labeled Footjoy golf wear and Titleist golf gear for each year. Add those two segment values within each year to get a yearly combined total. Compare the combined totals across all years. Select the year with the minimum combined total.
line_simple,82aqt0k0jnbj3irf,Which year is the median number of enterprises?,Sort the years by the “Number of enterprises” values from smallest to largest. Locate the middle value in this ordered list since there are nine total years. Read off the year associated with that middle value.
bar_grouped,1jatwi94v2d8cr9u,What is the difference between the yearly sum of the digital market and the annual sum of the package market?,Sum the Digital market values across all years shown in the chart. Sum the Package market values across all years shown in the chart. Subtract the package-market total from the digital-market total.
bar_stacked,2bhsybiilde28j87,What is the average percentage of non-black races that they answered very interested?,Filter the chart to the “Very interested” segments for the non-Black race categories. Read the Share_of_Respondents values for those segments and convert them to percentages. Average those percentages across the selected races.
bar_simple,1bywaj7stsb3060c,What is the average market share for a company with 5 or fewer letters in its name?,Filter the bars to companies whose name length is 5 letters or fewer. Read the Market shares values for those selected companies. Sum those values and divide by the count of selected companies to get the average.
line_multiple,6ah60yba8o7rw0i9,What is the difference between the maximum value of yogurt with additives and the minimum value of yogurt without additives?,Find the highest Average_Price_Euros value on the line for “Yoghurt with additives.” Locate the lowest Average_Price_Euros value on the line for “Yoghurt without additives.” Subtract the minimum without-additives value from the maximum with-additives value.
line_multiple,5p6g89v7l99aes05,What year has the biggest difference between playoff teams and all teams?,Compute the difference in Average_Payroll_Million_USD between the Playoff teams line and the All teams line for each year. Compare these year-by-year gaps to find the maximum. Select the year associated with that largest gap.
bar_simple,1ce802l2rdg98d7d,Which party has the third most respondents?,Sort the bars by the “Share of respondents” value from highest to lowest. Locate the bar in the third position in that ordering. Read the corresponding Party label from the x-axis.
bar_grouped,1hokbw2gmzar9ye8,What's the difference between women over 60 and men under 40?,Locate the Women bar for the “60 years and over” age group and read its percentage value. Locate the Men bar for the “18 to 39 years” age group and read its percentage value. Subtract the men-under-40 value from the women-over-60 value.
line_multiple,5wpw8detqynmqv1s,What is the difference between the maximum value for female victims and the minimum value for male victims?,Scan the female line (or points) and select the highest Number_of_Victims value. Scan the male line (or points) and select the lowest Number_of_Victims value. Subtract the male minimum from the female maximum.
line_simple,8e9wp443ff1i6snq,Which year has the biggest difference in value from the following year?,Compute the absolute year-to-year change by subtracting each year’s immigration rate from the following year’s rate. Compare these absolute changes across all adjacent year pairs. Select the starting year of the pair with the largest absolute change.
bar_stacked,2n0g3tsz1rsz6fgr,What is the largest average value in the industry when you get the average value for each of the five consecutive years?,Form five-year consecutive windows across the Year axis (2010–2014 through 2016–2020). Extract the Industry segment value for each year within a window. Average the five Industry values inside each window. Compare the window averages and select the largest one.
line_simple,8chfa8n079zpfigi,How many years correspond to a value between 20 and 30?,Filter the chart’s points to those whose FIFA World Ranking position lies from 20 to 30 inclusive. Count the remaining years.
bar_grouped,1j7gx35h6i9mpi6j,What is the difference between the proportion of respondents who value beauty products and the proportion of respondents who value books?,Select the “Much more important/A little more important” bar for Beauty products and read its share of respondents. Select the same response bar for Books and read its share of respondents. Subtract the Beauty products share from the Books share to get the difference.
bar_stacked,2yech0pea1xihind,What is the sum of percentage using META's platform as a separate times a day?,Treat META’s platforms as Facebook and Instagram in the chart. Select the bars colored “Several times a day” for those two platforms. Add their Percentage values to get the total.
line_multiple,64ue1v00wj8vg48e,What is the difference between the average of the values before 2010 and the average of the values after 2010 in should be valid?,Filter the chart to the “Should be valid” line only. Split the years into those before 2010 and those after 2010. Average the “Share of respondent” values within each of the two year groups. Subtract the before-2010 average from the after-2010 average.
bar_simple,1dm30xw1gpjo8ke5,What is the average of the maximum and minimum values of share of GDP?,Find the maximum bar value for Share of GDP in the chart. Find the minimum bar value for Share of GDP in the chart. Add these two extreme values and divide by two to get their average.
line_simple,8hiwwys6qkrbtapb,What is the difference between the average crime rate in the years before 2010 and the average crime rate in the years since 2010?,Treat “before 2010” as the years 2002/03 through 2009/10 and “since 2010” as 2010/11 through 2019/20. Average the crime-rate values across the pre-2010 years. Average the crime-rate values across the since-2010 years. Subtract the since-2010 average from the pre-2010 average.
bar_grouped,1mzcynif2s4mm6ps,What is the difference between the Enterprises sum and the Providers sum?,Filter the bars to the Enterprises respondent group and sum their Share of respondents values across all items. Filter the bars to the Provider respondent group and sum their Share of respondents values across all items. Subtract the Provider total from the Enterprises total.
line_multiple,9u3xwiltv2hlcqq1,Strong leader= preference for current leadership in respondents. What is a general rlationship between the preference for strong leadership and democratic government between 2007 and 2012. Can this generalize to other periods?,"Focus on the years 2007, 2011, and 2012 on the chart. Compare the Strong leader line to the Democratic government line across those years and note whether one rises when the other falls. Check the remaining years shown (2002, 2005, 2015) for the same opposite-direction pattern. Conclude whether the relationship appears consistent across the full time span displayed."
bar_simple,1hv85ef35tbvldiq,How many years was revenue less than 2 billion us dollars?,Scan the bars and note the revenue value for each year. Filter the years whose bar height is below 2 on the y-axis scale. Count how many years meet that condition.
line_multiple,au22oa0vjosoagxu,What time period was there a decrease in life expectancy for males?,Focus on the male line across consecutive years. Compare each year’s male value to the immediately previous year’s value. Mark the consecutive-year spans where the later point is lower than the earlier point. Report the continuous run of years covered by those decreases.
line_simple,albgfrf44bz6134k,Is the average annual increase from 2009-2019 same as any annual increase in inhabitants?,Calculate the year-to-year increase in “Inhabitants in millions” for each adjacent pair of years from 2009–2019. Compute the average of those yearly increases across the whole period. Compare that average increase to each individual year-to-year increase. Confirm that none of the individual increases exactly matches the average.
bar_grouped,23bplnbw291p6nil,How much less were women's median earning then men's in age group from 50-59?,Locate the 50 to 59 age-group panel in the chart. Read the median annual pay values for the Male and Female bars in that panel. Subtract the Female value from the Male value to get how much less women earned.
bar_stacked,aoycx517slbw0ifa,Which division contributed the most revenue in the years of 2015 -2018 and how much revenue did the industry contribute total?,Treat the range 2015–2018 as inclusive. Sum the “Revenue in million euros” values for each Division across those four years. Compare the three division totals to select the largest. Add all divisions’ revenues across 2015–2018 to get the industry total.
line_simple,aqowly2mmavof3f1,What years saw the longest continous period of decrease in the unemplowment rate,Read the unemployment-rate values in order along the Year axis. Compare each year’s value to the immediately previous year to mark whether it decreases. Group consecutive decreases into uninterrupted runs. Select the run with the greatest length and report its starting and ending years.
bar_grouped,23zc8kuhnpespj98,Which Genre is most popular among Boys respondents?,Filter the chart to the bars where Gender is Boys. Compare the Boys bar heights across all Genre columns using the Share_of_Respondents axis. Select the Genre whose Boys bar reaches the highest value.
bar_simple,1hm06wtar7gh92c8,"If the total population was 100,000 in 2020, what was the population over 65 years old?","Locate the bar for the year 2020 and read its value for “Share of population older than 65 years old.” Multiply that share by the given total population of 100,000. Convert the result to a whole-number count of people."
line_simple,amn6abwhwmc7ksaz,What year did the greatest total change in us dollars per whatt occur?,"Group the points by year using the Quarter/Year labels. For each year, calculate the total change by subtracting the first quarter’s value from the last quarter’s value in that year. Compare the absolute totals across years. Select the year with the largest absolute total change."
bar_grouped,221xoyhy3yziwabm,"In 2014, were more respondents satisfied (very satisfied+ satisfied) or disatified (very dissatisfied+ dissatisfied)?",Filter the chart to the bars for Year 2014. Add the shares for the two satisfied categories (Very satisfied and Somewhat satisfied). Add the shares for the two dissatisfied categories (Somewhat dissatisfied and Very dissatisfied). Compare the two totals and select the larger group.
bar_grouped,25n4mzhv6y1p36dl,In what sector did respondents spend more least frequently,Focus on the bars corresponding to the “Spend more” intent in each sector panel. Read the Share_of_Respondents value for those bars. Compare these values across sectors. Select the sector with the smallest “Spend more” share.
bar_stacked,ay58pwlf97q0osw6,Which channel has the most variation in revenue range?,"Group the bars by Source across all seasons. For each Source, note the minimum and maximum segment values on the y-axis. Calculate the range as maximum minus minimum for each Source. Compare the three ranges and select the Source with the largest range."
line_multiple,bhaqrpqx0hwtcol5,What year is the greatest difference in life expectancy observed in northwest territories vs canada?,Compute the gap by subtracting the Northwest Territories value from the Canada value for each Year category. Compare these gaps across all Year categories. Select the Year with the largest gap.
line_multiple,b1jrtiwi2x01zdtw,In 2005 what is the differnce between share of engaged and disengaged respondents?,Locate the year 2005 on the chart. Read the share for the Engaged line and the Actively disengaged line at that year. Subtract the disengaged share from the engaged share to get the difference.
bar_stacked,bfi0ia7zx8pjb5g8,How many years is the share of retail revenue from foreign operations fom hardlines and diversified greater then 60?,Add the Hardlines and leisure goods value and the Diversified value within each year’s stacked bar. Compare each yearly sum to the threshold of 60. Count the years whose combined total exceeds 60.
line_simple,ahxo354yj7g4m6h1,"If the total GDP is 2 billion, what was the average annual percentage increase in this industry's gdp contribution from 2000 to 2010?",Read the chart values for 2000 and 2010 in the “Percentage of GDP” field. Convert each percentage to a dollar contribution by multiplying by the total GDP of 2 billion. Calculate the compound annual growth rate over the 10-year span using \((\text{2010 contribution} / \text{2000 contribution})^{1/10} - 1\). Express the result as a percentage.
bar_stacked,apsxmes1emdu9vtk,"In the age group with the most steady inhabiants, how may inhabitants were there in 2018?",Compute the year-to-year variation for each Age Group across the full timeline. Select the Age Group with the smallest overall change (most steady). Locate that group’s segment for the year 2018 on the chart. Read off the corresponding value on the y-axis.
bar_simple,1hp11sl0mo4ohtpo,In which fiscal year was there the greatest increase in average ticket price and what was the value of the increase?,Sort the bars by fiscal year order from earliest to latest. Calculate the year-to-year change by subtracting each fiscal year’s average ticket price from the next fiscal year’s value. Compare these changes to find the largest positive increase. Read off the fiscal year where that maximum increase occurs and record the size of the increase.
bar_simple,1it2ia9kmdihxan8,How many years were ther less then 50 incidents observed,Filter the bars to those with a “Number of incidents” value below 50. Count how many years meet that condition.
bar_simple,0baf5ch9y4z8914p,What is the average of the three lowest rate values?,Sort the bars by the Monetary policy rate (%) value in ascending order. Select the three bars with the smallest rates. Add those three rate values together and divide by 3 to compute their average.
bar_grouped,01h0jkno5l7jola8,What is the average difference between the male and female proportions of each artist?,Compute the absolute difference between the Men and Women bars within each Artist column. Sum these per-artist gaps across all artists shown in the chart. Divide the total by the number of artists to get the average difference.
line_multiple,0cjk67q39ee6dhzj,What is the difference between the year with the smallest difference between Republicans and Democrats and the year with the highest difference?,Calculate the absolute gap between the Republicans and Democrats values for each year shown in the chart. Select the year where this gap is smallest and the year where this gap is largest. Subtract the earlier year from the later year to get the year difference.
bar_grouped,01mksjs373fhcl4q,Which sector showed the most decline?,Compare the two bars within each sector’s panel for 2003 versus mid-2013. Calculate the decline by subtracting the mid-2013 value from the 2003 value for each sector. Select the sector with the largest drop.
line_simple,04xwv56n37ybj8zr,What is the difference between the third most index scores and the fifth most index scores?,Sort the Index_Score values in descending order. Locate the third-highest value and the fifth-highest value in that ordered list. Subtract the fifth-highest value from the third-highest value.
line_simple,0cymcilknp8krjwz,What is the difference between the sum of the values above 4.0 and the sum of the values below 2.5?,Filter the chart’s yearly values to those strictly above 4.0 and add them together. Select the values strictly below 2.5 and sum them. Subtract the below-2.5 sum from the above-4.0 sum.
bar_simple,0abj8blv663ussbr,What is the difference between 2010 and 2020 values?,Locate the bar for 2010 and read its market-size value from the y-axis. Locate the bar for 2020 and read its market-size value from the y-axis. Subtract the 2010 value from the 2020 value.
bar_simple,0cad2xfrwdgvo9zk,What is the sum of the three median values for each year?,List the fatalities values for all years and sort them from smallest to largest. Locate the three middle values in the sorted list (the median trio for an odd count of years). Add those three middle values together.
line_simple,0gr1c2jcthc8h9f6,What is the difference between a value for a year with a score value between 6.2 and 5.8 and a value for a year with a score value below 4.8?,Filter the chart to the years whose Risk index score falls between 5.8 and 6.2. Filter the chart to the years whose Risk index score is below 4.8. Select one score from each filtered set. Subtract the below-4.8 score from the 5.8–6.2 score.
bar_stacked,001dao0mq0pplbzj,What year has the biggest difference between commercial and matchday?,Filter the chart to the Commercial and Matchday segments for each year. Calculate the absolute difference between those two segment values within each year. Compare these differences across all years. Select the year with the largest difference.
bar_simple,0a5npu4o61dz4r5f,What is the difference between the countries with the highest and lowest images?,Locate the tallest bar in the chart and read its damage value. Locate the shortest bar in the chart and read its damage value. Subtract the smaller value from the larger to get the difference.
bar_grouped,07lo3vvwztz32ifq,What is the sum of the values with the highest and lowest percentage differences for each year?,Compute the percentage difference between the two years for each Region using the two bars in that Region’s panel. Select the Region with the largest percentage difference and the Region with the smallest percentage difference. Take the Net_Sales_Percentage values for those two selected Regions in each year and add them together.
bar_stacked,075i5mfewy2uvwej,What is the difference between the service value in 2010 and the service value in 2020?,Locate the Services segment for the year 2010 and read its Share_of_Total_Employment value. Locate the Services segment for the year 2020 and read its Share_of_Total_Employment value. Subtract the 2010 value from the 2020 value to get the difference.
line_simple,08x3crju85yix5ab,How many years have a score below 80 in total?,Scan the plotted points and note the CPI_Score value for each Year. Filter the years whose CPI_Score is less than 80. Count the remaining years.
bar_stacked,004fhteah0l9kud2,What is the difference between the average of Commercial and the average of Matchday?,Collect the Commercial bar values across all seasons and calculate their average. Gather the Matchday bar values across all seasons and compute their average. Subtract the Matchday average from the Commercial average.
line_multiple,0bunvsqd54e3qahz,What is the difference between the female value in 2010 and the male value in 2016?,Locate the female point for year 2010 and read its life-expectancy value. Locate the male point for year 2016 and read its life-expectancy value. Subtract the male value from the female value to get the difference.
bar_grouped,0bgcjlbz7nv5vnjc,What is the average value of the difference between the three years with the largest difference between age groups?,Calculate the absolute difference in SharePercentage between the two AgeGroup bars within each Period. Sort the Periods by this difference and select the three largest gaps. Average those three difference values.
line_multiple,08iur64i01boakg5,Which year has the highest difference in values between Male and Female?,Compute the Male–Female difference for each year using the two lines’ values at the same x-position. Compare these yearly gaps across the full time range. Select the year where this gap is largest.
bar_stacked,05qg5ubxklojfze7,Which one has the highest percentage sum between major and minor?,Add the Major problem and Minor problem shares for each Problem category in the chart. Compare these combined totals across all Problems. Select the Problem with the largest combined total.
line_multiple,0b9o2vahkw2a1bxy,What is the difference between the value of the year with the highest percentage of no and the value of the year with the third highest percentage of yes?,Sort the “No” line values by share to find the year with the highest percentage of no. Read the “Share of respondents” value for that year. Sort the “Yes” line values by share to find the year with the third-highest percentage of yes. Subtract the third-highest “Yes” value from the highest “No” value.
bar_simple,0v0l4wdbx7orkqz1,"Which is more, the number of suicides under the age of 30 or over the age of 70?","Group the bars into those with age groups below 30 and those above 70. Sum the “Suicides per 100,000 population” values within each of the two groups. Compare the two totals. Select the group with the larger total."
bar_stacked,14jud3ymyoonba4e,Which sector accounted for the largest portion of this chart as a whole?,Sum the Revenue_Million_Euros values for each Sector across all years in the chart. Compare the sector totals. Select the sector with the highest total revenue.
bar_grouped,0vw6ydim9cff8ji6,In which year did construction record the highest percentage?,Locate the Construction panel in the grouped bar chart. Compare the heights of the Construction bars across the periods shown. Select the period with the tallest bar and read its year from the x-axis label.
line_simple,5lhrulhnl0io2r81,How many months were the month when the producer price index was lower than 210 in total?,Scan the chart’s points and note each month’s Producer Price Index value. Filter the months whose values are strictly below 210. Count the remaining months.
line_multiple,2hjkdo5w242alvjd,Was the period from 2006 to 2011 longer than the period when people were more likely to be satisfied than the period when they were dissatisfied?,Treat 2006–2011 as the inclusive span from 2006 through 2011 and count its years. Compare the Satisfied and Dissatisfied values year by year to mark years where Satisfied is higher. Count the years where Satisfied exceeds Dissatisfied. Compare the two counts to decide whether the 2006–2011 period is longer.
bar_simple,0vmvmj77j3p6vcy7,What is the net income sum from 2010 to 2015?,Select the bars whose Year values run from 2010 through 2015 inclusive. Read the “Net income in USD” value for each of those years from the chart. Sum those six values to get the total net income over that period.
bar_stacked,174uq759pluu079w,What is the sum of Sony's rankings for 2017 and 2018?,Rank manufacturers within 2017 by comparing their Shipments_Million_Units values from highest to lowest. Record Sony’s rank for 2017. Rank manufacturers within 2018 the same way and record Sony’s rank for 2018. Add the two recorded ranks.
bar_grouped,0w5jptak9peti0mj,How many years in total did APAC have the lowest annual revenue?,Check the three regional bars within each Year column. Compare the APAC bar’s height to the Americas and EMEA bars for that same year. Count the years where APAC is the smallest among the three regions.
line_simple,5po479f2ju9lqv16,What is the total from 2011 to 2017?,Select the points whose Year values run from 2011 through 2017 inclusive. Sum their “Inhabitants in billions” values. Report the resulting total.
line_multiple,2kmpy10btl65kr2j,What is the average of the percentage of responses in the last three years of Favourable views of the US?,Locate the “Favorable view of US” series on the chart. Select the last three years shown for that series (2015–2017) and read their percentages. Add those three percentages together. Divide the sum by 3 to get the average.
bar_simple,0vqxnzu0mpbz12ch,Which of the differences between 2018 and 2019 or the differences between 2023 and 2025 is the bigger value?,Read the chart values for 2018 and 2019 and compute their difference. Read the chart values for 2023 and 2025 and compute their difference. Compare the two computed differences and select the larger one.
bar_stacked,19xwo5oscmgpcdyl,What the average of the agricultural values for all years in which the value of industry is greater than 0.2?,Interpret “industry” as the Coal series and “agricultural” as the Gas series in the stacked bars. Check each year’s Coal value and keep only the years where it exceeds 0.2. Select the Gas values for those filtered years. Average the selected Gas values.
bar_grouped,0wgqpso2vnilpym6,Is the difference between Alaska's 2000 value and 2020 value greater than Total's 2020 minus 2000 value?,Read Alaska’s production values for 2000 and 2020 from the chart. Subtract the 2000 value from the 2020 value and take the absolute size of that change. Read Total’s production values for 2000 and 2020 from the chart. Subtract the 2000 value from the 2020 value for Total and compare the two changes.
line_simple,651x1l1swysyy6vp,When was the fifth highest percentage of the values on the chart?,Sort the chart’s percentages from highest to lowest. Count down the ordered values to the fifth position. Read the Date label associated with that fifth-ranked point.
line_multiple,2s65jcap9pn289qx,What is the sum of the differences between women and men in the last five years?,"Select the last five years shown on the chart (2016–2020). For each of those years, subtract the men’s Population_Million_Inhabitants value from the women’s value. Sum the five yearly differences to get the total."
bar_simple,0vvz9mdgdiazke5o,What the average of values from 2012 to 2015?,Select the four bars for the years 2012 through 2015. Add their “Gross payment volume in billion USD” values together. Divide the sum by 4 to get the average.
bar_stacked,19msoowya2szdynd,What is the sum of the Coal values for all years in which the value of Gas is greater than 1/3 of the value of Oil?,"Check the chart’s color legend to confirm whether the categories Coal, Gas, and Oil appear as sectors. Verify that only Agriculture, Industry, and Services are present across all years. Conclude that there are no years meeting the stated Gas-versus-Oil condition because those fields do not exist in the chart. Sum the Coal values over the qualifying years, yielding zero."
bar_grouped,0xc7sx6ll8fl5rgh,What is the average of the vote share at an age when Clinton received a lower vote share?,Filter the chart to the age-group panels where Hillary Clinton’s bar is shorter than Bernie Sanders’s bar. Read Clinton’s vote-share values for those selected panels. Calculate the mean of those Clinton values.
line_simple,66va2s35es5t86l3,What is the year with the largest increase compared to the previous year?,Compute the change in “In millions” between each pair of consecutive years shown on the line. Compare these year-to-year increases to find the largest one. Select the later year of the pair with the maximum increase.
line_multiple,3tc31k5k2o6wmvyp,How many dates were there in total when the percentage sum of dem and rep was less than 70?,Group the chart’s points by Date so each date has one Dem value and one Rep value. Sum the Dem and Rep percentages within each date. Compare each date’s sum to the threshold of 70. Count the dates whose summed percentage is below 70.
line_multiple,1h4rj9i2jtzq589y,"Which of the most recent years is the value of the EU 5-country media with y-axis values between 51 and 61?
",Filter the EU 5-country median series on the chart. Select the points whose y-values fall between 51 and 61 inclusive. Compare the years of those filtered points. Choose the most recent year among them.
bar_stacked,0gf8ugj84bs1ko2k,What is the average value for each service area in the year when the data center's revenue was highest?,"Locate the year where the Data Centers segment reaches its maximum height. Read the three Revenue_Million_USD values for Data Centers, Cloud, and BPO in that year. Sum those three values and divide by three to get the average across service areas."
line_multiple,14jt6jor7iknkjkl,What is the sum of the Confidence in U.S. present values for the period in which the favorite view of the U.S. is the lowest?,Locate the minimum Percentage value on the “Favorable view of US” line across all years. Note the year where that minimum occurs. Read the “Confidence in US president” Percentage for that same year. Sum the confidence values over that identified period (a single year).
line_multiple,16aphfabldrpgcmd,What is the sum of the number of weights exceeding 3670 in the Boys group and the number of weights exceeding 3550 in the Girls group?,Filter the chart to the Boys series and count the years where the plotted weight is greater than 3670. Filter the chart to the Girls series and count the years where the plotted weight is greater than 3550. Add the two counts together.
bar_stacked,0dglnk2wbf5ll15t,What is the difference between the average of values corresponding to Poor and the average of values corresponding to Good?,Filter the chart to the segments labeled Poor and read their values across all years. Average those Poor values across the four years. Filter the chart to the segments labeled Good and read their values across all years. Average those Good values across the four years. Subtract the Poor average from the Good average.
line_simple,10gtgmmgh599jnr7,What is the difference between the second largest and the smallest values between 2000 and 2008?,Filter the chart to the years 2000 through 2008 inclusive. Sort those points by Percentage_of_Population to find the smallest value and the second-largest value. Subtract the smallest value from the second-largest value.
